ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Office,46200,1956,100,3,183.1,5107784,3186.1
Multifamily Housing,70771,1915,100,3,103.8,4241721.6,2615.1
Multifamily Housing,80366,1999,100,24,69.1,1796344,8329.8
Multifamily Housing,59496,1985,100,2,101.5,555587.5,5486.9
Multifamily Housing,163242,1905,100,17,75.2,4780550,5096.6
Multifamily Housing,68427,2000,100,40,81.3,3975680.3,1738.7
Office,44968,1915,100,18,122.2,2059561.2,1785.1
Office,129949,1911,100,45,98.8,3165744.2,7978.9
Office,36280,1991,100,62,76.3,942681.2,1151.2
Multifamily Housing,54678,2003,100,65,61.2,1687159,1098.2
Multifamily Housing,61750,1900,100,24,83.8,2784725.8,2595.1
Hotel,67870,2008,100,62,114.1,4857400,6877
Multifamily Housing,153833,1915,100,71,50.9,5285264.5,3376
Multifamily Housing,125674,2004,100,2,91.3,5009987.6,5680.5
Multifamily Housing,58015,1930,100,39,80.8,2916128.2,2612.2
Multifamily Housing,176493,1913,100,1,70.2,4724769,5569.9
Multifamily Housing,100984,1985,100,70,55.6,2879384.3,2221.7
Multifamily Housing,103251,1915,100,92,34.8,978712.5,847.8
Multifamily Housing,76856,1995,100,95,59.3,4349828.2,4207.8
Multifamily Housing,117123,1920,100,39,71,4179415.9,2851.2
Office,312837,1927,100,84,84.3,8312260,5695
Multifamily Housing,59838,1962,100,31,52.6,1495882,2527.7
Multifamily Housing,83968,1920,100,5,87.1,4168902.3,2525
Multifamily Housing,82544,1910,100,6,56.8,2806042.5,1499.9
Office,878120,1929,100,87,67.9,20289867.5,19091.8
Hotel,186891,1996,100,28,122.8,2158944.6,14279.1
Hotel,56735,2008,80,3,143.9,3001487.7,3629.5
Office,40000,1865,100,12,139.8,77270,1538.9
Office,58000,1910,75,39,73.5,60435.2,826.6
Hotel,126529,2010,90,38,136,6844292.5,9898.5
Office,126053,1913,100,72,75.2,2474372.4,3570.1
Office,44200,1915,100,54,66.1,287658.8,2821
Multifamily Housing,53065,1933,100,66,108.7,5467157,4170
Multifamily Housing,267018,1978,95,80,74.9,15432572,17837.3
Multifamily Housing,630395,1979,100,57,79,40500856.6,68959.2
