bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,2000,68427,100,1738.7,0.5,744237.2,81.3
Office,1915,44968,100,1785.1,0.4,1334550.7,122.2
Office,1911,129949,100,7978.9,0.3,2788498.7,98.8
Office,1991,36280,100,1151.2,0.2,910498.2,76.3
Multifamily,2004,55330,100,4580,0.5,1669081.2,105.9
Multifamily,2003,54678,100,1098.2,0.3,472951.9,61.2
Multifamily,1900,61750,100,2595.1,0.5,689946.4,83.8
Hotel,2008,67870,100,6877,0.7,841698.2,114.1
Multifamily,1915,153833,100,3376,0.4,728650.1,50.9
Office,2004,57751,100,3441.3,0,1715463.7,106.9
Multifamily,2004,125674,100,5680.5,0.4,1961244.1,91.3
Multifamily,1930,58015,100,2612.2,0.6,506764.3,80.8
Multifamily,1913,176493,100,5569.9,0.3,2250570.3,70.2
Multifamily,1950,64231,100,1962,0.5,627070.5,74.8
Multifamily,1985,100984,100,2221.7,0.3,780012.9,55.6
Multifamily,1915,103251,100,847.8,0.1,776857.8,34.8
Multifamily,1910,54250,100,2197,0,273420.9,72.4
Multifamily,1995,76856,100,4207.8,0.6,228036.4,59.3
Multifamily,1900,61717,100,2058.8,0.3,711043.5,67.1
Office,1927,312837,100,5695,0.2,5695352.3,84.3
Multifamily,1962,59838,100,2527.7,0.3,485308.3,52.6
Multifamily,1920,83968,100,2525,0.5,904541.8,87.1
Multifamily,1910,82544,100,1499.9,0.4,552033.6,56.8
Office,1929,878120,100,19091.8,0.2,12874832.9,67.9
Hotel,1996,186891,100,14279.1,0.1,3550554.3,122.8
Hotel,2008,56735,80,3629.5,0.6,1492256.9,143.9
Multifamily,2009,124293,100,3314.6,0.5,1686168.7,90.7
Office,1865,40000,100,1538.9,0,2641238.8,139.8
Office,1910,58000,75,826.6,0,1205590.3,73.5
Hotel,2010,126529,90,9898.5,0.6,2975051.1,136
Office,1913,126053,100,3570.1,0.2,2374967.6,75.2
Office,1915,44200,100,2821,0.1,945626,66.1
Multifamily,1915,44200,100,7804.8,1.1,858685.2,155
Multifamily,1933,53065,100,4170,0.9,429299.4,108.7
Multifamily,1978,267018,95,17837.3,0.6,1286371.6,74.9
Multifamily,1979,630395,100,68959.2,0.7,2690210.9,79
Multifamily,1987,83905,100,7647.3,1.1,363389.2,114.1
Multifamily,1935,1396625,100,111668.7,0.1,9319669.7,87.4
Multifamily,1955,966030,100,40924,0.9,4456123.4,107
Multifamily,2013,130576,80,2250.1,0.2,816343.3,36.4
Multifamily,2002,69285,100,8074.8,0.8,790736.1,112.2
Office,1991,58301,100,3146.3,0.3,903669.3,82.4
Multifamily,1912,50673,100,909.1,0.5,386608.8,77.2
Multifamily,1968,65989,100,4274.9,0.5,639426.1,73.5
Multifamily,1955,970540,100,40528.5,0.9,4540519.8,107.6
Multifamily,1929,216200,100,15381.4,0,1117500.7,102.1
Multifamily,1949,268430,100,18690.5,0.9,1826350.3,105.3
Multifamily,1949,564060,100,38538.1,0.9,2835192.8,100.8
Multifamily,1906,119893,100,5228.8,0.5,545383.4,66.4
Multifamily,1930,50124,100,1231.4,0.2,404824.8,46.9
Multifamily,1983,205821,100,15614.1,0.5,918990.7,58.8
Multifamily,2005,58974,100,4602,0.4,362602.8,56.6
Multifamily,2010,107740,100,3477.1,0.3,421821.9,42.3
Facility,1928,104680,100,55.2,0.3,280207.5,34.4
Multifamily,2005,51802,100,2074.4,0.5,346637.4,71.5
Multifamily,2001,74359,100,4350.3,0.8,1005506,116.8
Multifamily,1928,94008,100,2277.8,0.6,409285.9,70.3
Multifamily,1973,102000,100,9679,0.1,746153.1,118.3
Multifamily,1940,55947,100,2049.8,0,224155.5,71.2
Multifamily,1938,52265,100,2718.5,0,448090.5,28
Multifamily,1970,83223,100,2989.8,0.4,587026.9,58.6
Hotel,1985,70000,100,6047.3,1,1436903.8,160.6
Hotel,2007,83000,100,7605.4,1.3,2160919.3,218.1
Multifamily,2007,210043,100,10386.7,0.5,2591434.1,90
Hotel,2007,109858,100,10335.4,0.7,1576761.1,111.7
Office,2005,61282,100,2226.2,1,912763,143.7
Multifamily,2000,42772,100,6463.2,1.3,1809513.5,235.8
Entertainment,2007,60000,100,787.4,0.9,2282351.7,221.6
Retail,1920,85995,100,1239.5,0,485557.1,59.8
Multifamily,1929,122406,100,4283.8,0.5,662038.6,64.1
Multifamily,1962,858068,100,75342.3,0.8,4389353.1,95.3
Multifamily,2007,94773,100,3479.2,0.5,929364.2,77.8
Facility,1923,61111,100,123.4,0.2,213216.3,24.9
Multifamily,1929,67763,100,2884.2,0,546886,69.9
Multifamily,2002,75000,100,2688.4,0.5,478266.4,66.4
Multifamily,1929,106432,100,7643.6,0,937992.6,75.3
Multifamily,2001,83734,100,4810,0.6,833992.2,89.6
Multifamily,1981,122689,100,7453.4,0.6,487878.6,66.7
Multifamily,1929,69862,100,3331.8,0,343151.6,62.9
Entertainment,1920,67347,100,896.2,0.4,908138.5,77.5
Multifamily,1925,47362,100,7445.4,0.6,767664.2,99.5
Multifamily,2010,64031,100,1814,0.3,757106.3,65.2
Multifamily,2016,91682,90,2587.6,0.1,676452.5,39.5
Retail,1874,46752,100,6276.3,0,1855314.1,130.1
Multifamily,1904,50064,100,1340.9,0.1,540591.4,98.7
Multifamily,1890,56807,100,2534.7,0.6,617372.2,92.4
Multifamily,1900,70759,100,2487,0,544771.3,79.7
Retail,1986,42100,100,431.9,0,386362.6,30.3
Office,1930,362151,100,2570.3,0.2,5140373,65
