bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1983,87075,100,3367,0.6,554214.2,81.7
Multifamily,1960,129600,100,3709.6,0.6,468184.3,69.2
Multifamily,1961,130570,100,3670.7,0.5,446632.1,66.4
Multifamily,1964,108570,100,1936.9,0.6,371121.9,71.3
Multifamily,1955,112955,100,3577.9,0.6,270935.7,58.6
Multifamily,1958,111015,100,3779.8,0,448227.2,77.7
Multifamily,1953,83200,100,2672,0.7,316661.3,75.7
Multifamily,1941,125148,100,6028.3,0.8,484118.8,83.1
Multifamily,1966,64310,100,2458.1,0,305855.6,83.3
Multifamily,1953,141721,100,5741.3,0.9,865042.5,106.9
Multifamily,1949,108700,100,16899.2,0.8,520387.1,92.3
Multifamily,1959,228930,100,4094.5,0.4,687980.2,50.1
Multifamily,1953,228891,100,10702.4,0.7,849681,75.4
Multifamily,1962,231000,100,7962.7,0.9,1490321.5,191.7
Multifamily,1955,212433,100,7186.6,0.7,741844.7,75.5
Multifamily,1958,155420,100,5559.7,0.9,608074.3,103.1
Multifamily,1951,92782,100,4522.7,0.6,266141.7,66.8
Multifamily,1953,82559,100,2822,0.2,468244.1,35.2
Multifamily,1970,83880,95,2582.3,0.7,375591.9,84.1
Multifamily,1934,130400,100,2918.6,0.7,444500,71.6
Multifamily,1953,61528,100,3076.1,1,332006.5,110.7
Multifamily,1927,56000,100,593.9,0.6,34318.8,56.7
Multifamily,1929,87510,100,8348.8,0,477369.9,108.1
Multifamily,1930,62287,100,5143.3,0.7,230944.1,82.8
Multifamily,1927,70000,100,2779.3,0.7,15504.1,68.5
Multifamily,1974,70447,100,3336.3,0.1,364518.9,33.5
Multifamily,1970,67987,100,3093.1,0.8,275293.7,84
Multifamily,1962,345000,100,39478.1,0.1,1539053.9,104
Multifamily,1927,153900,100,16251.4,0.7,661511.7,76.2
Multifamily,1962,136195,100,1825,1,726114.5,120.8
Multifamily,1957,61187,100,1641.2,1.1,214700.2,111.7
Multifamily,1929,72085,100,5881.8,0.1,352968.7,93.2
Multifamily,1960,77531,100,5492.2,0.7,260079.9,76
Multifamily,1940,84890,100,4216.8,0.9,333415.8,97.1
Multifamily,1939,76500,100,1692.8,0.6,189031,68.3
Multifamily,1960,112886,100,5249.8,0.6,429619.9,70.5
Multifamily,1937,71091,100,4874.3,0.9,508822.4,111.7
Multifamily,1923,88178,100,4410.5,0.5,204857.9,60
Education,2014,70000,100,1130.3,0.5,1180196.8,106
Multifamily,2004,59005,95,1666.7,0.6,428810.4,78.3
Multifamily,1962,111285,100,6653.3,0.6,578189.6,70.6
Multifamily,1951,186480,100,6467.7,0,480335.6,60.5
Multifamily,1949,78551,100,4323.1,0.1,469500.5,28.8
Multifamily,1937,69441,100,3169.7,0.8,320241.4,87.7
Multifamily,1954,112000,100,3576.4,0.3,436534.2,43.9
Multifamily,1960,70120,100,4231.6,1.3,292647.6,138.4
Multifamily,1957,103215,100,2550.1,0.6,285708.1,60.9
Multifamily,1949,44040,100,1998.8,0.7,213094.7,88.1
Multifamily,1999,56148,100,3442.5,0.5,233741.3,62.3
Multifamily,1970,60928,100,1988.9,0.6,240537.6,69.1
Multifamily,1939,80000,100,2262.1,0.5,232235.9,52.8
Multifamily,2008,65256,100,2635.8,0.6,818594.8,89.9
Multifamily,1954,59352,100,2213.5,0.8,211365,85.4
Multifamily,2007,242697,100,6040.5,0,0,0
Multifamily,1958,80000,100,2741,0.7,302458.6,73.2
Multifamily,1936,60074,100,4048.5,0.3,214328,86.5
Multifamily,1954,120624,100,4407.5,0.7,411806.6,70.8
Multifamily,1961,70053,100,2182.6,0.6,247256.7,64.5
Multifamily,1955,312000,100,9999.2,0.5,1139865.4,60.6
Multifamily,1939,66871,100,2320.5,0.7,219374.6,70.1
Multifamily,1910,68718,100,1658.4,0.6,223095,67.1
Multifamily,1967,106934,100,4079.9,0.6,405191.4,69.8
Multifamily,1932,86230,100,2075.1,0.5,202450.2,54.6
Multifamily,1939,102529,100,4124.8,0.5,294955.4,54.6
Multifamily,2000,163000,100,8351.2,0.9,2100575.2,133.1
Multifamily,1955,114500,100,3307,0.6,326777,64.8
Multifamily,1950,207100,100,6894.2,0.5,659676.1,56.9
Multifamily,1961,107627,100,4682.5,0.7,494789.4,82.8
Multifamily,1990,167809,100,14048.4,0.4,1199540.6,61.7
Multifamily,2008,126040,100,3856.8,0.4,571839.9,51.7
Multifamily,1931,59000,100,1366.7,0.1,157953.9,63.4
Multifamily,1940,62088,100,2713.2,0,211663.9,85.9
Multifamily,1928,135135,100,5313.4,0,1108673.5,117.9
Multifamily,1960,75000,100,5226,0.8,344753.6,88.8
Multifamily,1961,89868,100,5046.4,0.1,545507,84.9
Multifamily,1950,87295,100,5624.6,0.1,267343.8,73.3
Multifamily,1965,85523,100,3149.8,0,311516.2,82.7
Multifamily,1958,62000,90,3227.1,0.7,181198.4,72.3
Multifamily,1964,57410,100,1989.3,0,309791.7,95.6
Multifamily,1939,151500,95,5383,0,494621.1,41.5
Multifamily,1960,263206,100,9082.2,0,1081520.2,73.5
Multifamily,1974,54705,100,4625.2,0.7,307814.2,85.9
Multifamily,1961,127000,100,6313.6,0.6,586771,78.8
Multifamily,1962,55540,100,3339.7,0.8,264922.3,89.5
Multifamily,1969,60829,100,2753,0.6,235130.7,72.8
Multifamily,1968,59479,100,6075,1.1,982371,168.5
Multifamily,1958,92640,100,4448.1,0.6,328285.1,63.1
Multifamily,1959,54635,100,4018.4,0,322852.3,24.5
Multifamily,1962,80000,100,2164.9,0.6,277713.1,67.7
Multifamily,1954,104000,100,4529.9,0.7,519223,96.2
Multifamily,1951,133990,100,7158.9,0.7,652156.6,80.3
Multifamily,2006,111194,100,2969.8,0.8,965661.1,101
Multifamily,1961,151800,100,6360.6,0.6,657613.2,67.3
Multifamily,1952,116424,100,3707.8,1.5,538538.5,156.7
Multifamily,1954,81972,100,2411.7,0.6,317161.4,70.1
Multifamily,1956,108549,100,6408.2,0.7,406644.8,77.7
Multifamily,1954,72594,100,2712.4,0.5,275145.5,60.8
Multifamily,1970,84925,100,3691.5,0.7,365117,77.1
Multifamily,1953,59766,100,2349.3,0.8,196394.9,81.3
Multifamily,1963,153600,100,6499.1,0.8,676519.8,84.5
Multifamily,1954,64510,100,2136.8,0.8,284801.6,91.2
Multifamily,1959,237000,100,11465.9,0.6,907024.4,72.2
Multifamily,1958,359995,100,17942.7,0,1500016.5,102.1
Multifamily,1953,180313,100,16951.2,0,963471.8,85
Multifamily,1951,57250,100,3247.7,1.6,245599,159.4
Multifamily,1961,220338,100,9807,0,1404121.2,25.2
Multifamily,1961,172121,100,8218.2,0,1156853.4,26.7
Multifamily,1954,163943,100,5567.8,0.7,616702.7,81.5
Multifamily,1955,178001,100,5922.7,0.7,665613.6,72.8
Multifamily,1963,116844,100,4813.1,0.7,533117.1,84.9
Multifamily,1963,219744,100,11636.7,0.9,1312580.2,111.3
Multifamily,1969,289346,100,9943.9,0.6,1203332.9,74.4
Multifamily,1980,125976,100,4592.8,0.6,738473,73.6
Multifamily,1952,126000,100,3512.1,0,749007.9,92.2
Multifamily,1941,189592,100,4711.1,0,531286.1,74.5
Multifamily,1948,235467,95,9950.6,0.7,290790,67
Multifamily,1948,175726,95,6287.4,0,274951,69.2
Multifamily,1941,139416,100,1577.8,0,413289.8,83.4
Multifamily,1960,425135,100,22995.8,0.2,1517442.8,97.4
Multifamily,1960,420189,100,26655.3,0.3,1523008.1,97.4
Multifamily,1960,428316,100,21826.8,0.2,1447637.4,100.5
Multifamily,1949,395521,100,21069,0,1524180.4,100.3
Office,1890,168600,100,295.9,0,856046.9,18.6
Office,1908,89250,100,3312.4,0.3,686513,53
Multifamily,1915,274516,100,9689.5,0.8,1803285,104.3
Multifamily,1902,96790,100,4894.5,0,869187.9,31
General Medical,1950,78150,75,6594603.9,0.3,918347.6,67.3
Multifamily,1910,43732,80,2971,0.5,876041.3,104.6
Multifamily,1910,58162,100,7299.5,0,581565.8,33.9
Multifamily,1900,192312,100,4509.2,0.3,1407829.3,51.4
Multifamily,1906,343761,100,16100.1,0.4,3490139.6,71.8
Multifamily,1914,114002,90,2788.7,0.3,936011,49.6
Multifamily,2006,65020,100,2480.5,0.7,687001.7,104.2
Multifamily,2006,105368,100,4221.3,0.5,677355.4,67.3
Multifamily,2006,348770,100,10940.2,0.4,3990158.1,75.4
Multifamily,1919,114270,100,3203.9,0.5,673311.8,68
Office,1909,94537,90,352.8,0.4,499111.9,61.9
Multifamily,1950,927815,100,51736,0.8,4426050.9,96.9
Multifamily,1992,387919,100,13860,0.7,2193599.6,85
Multifamily,2010,112801,100,5573.7,0.7,1015558.2,95.8
Facility,2006,97929,100,106,0.2,317044.3,29.8
Multifamily,2011,314209,100,15801,0.6,2856588.1,90.6
Office,1995,216000,100,21761.7,0.3,26071196.2,440
Hotel,2014,51517,100,2607.4,0.6,927689.1,112.6
Multifamily,1926,61875,100,3334.1,0.3,348229.1,47.2
Multifamily,2005,307693,100,13999.8,0.3,3262378.3,65.6
Hotel,1998,544543,100,26548,0.2,6837918.2,150.3
Office,2005,922927,100,12184.3,0.2,4817796.1,40.8
Hotel,2010,94420,100,6243.7,0.4,1636048.6,100.6
Hotel,2010,167532,95,9640.9,0.4,3113352.7,99.2
Hotel,2010,104172,100,3693.6,0.2,1166213.2,55.8
Multifamily,2009,459912,100,13536,0.6,3504608.4,80.1
Office,1992,469405,100,5292.1,0.2,22797295.2,180.7
Office,1921,80250,90,4122.5,0.2,2414184.5,65.9
Facility,1927,130000,100,0,0.3,2711024,98
Office,1895,89013,70,5297.9,0.3,1533243.9,89.2
Retail,1865,1156800,100,17554.9,0.3,3949684.9,42.2
Multifamily,2007,299542,100,9026.7,0.5,1832142.2,67.2
Multifamily,2011,212200,95,8907.4,0.3,2323039.4,66.2
Multifamily,2007,94720,100,9187.6,0.5,1281855.3,94.9
Multifamily,2005,164069,100,13040,0.6,2198009.2,97.1
Multifamily,1900,100226,100,2093.5,0.5,408245.1,60.8
Multifamily,1990,84910,100,1801.6,0,537560.6,22.3
Multifamily,2006,99574,100,2850.7,0.4,1177056.7,70.1
Multifamily,1993,135000,100,6684.6,0.5,2434219.7,108.1
Multifamily,1910,54050,100,2419.2,0.8,493481.4,111.7
Multifamily,1937,89445,100,3000.8,0.5,364357.3,59.1
Multifamily,1917,57714,100,1166.6,1.7,263298.7,188.9
Multifamily,1987,89889,100,1286,0.4,390963.7,56.3
Multifamily,1960,154928,100,3068,0.4,581699.9,54
Multifamily,1939,52012,100,1931.5,0.7,224248.1,85.8
Multifamily,1927,328768,100,9496,0.7,2795626.8,104
Multifamily,1929,455765,100,14138.2,0.5,2747604.6,67.9
Multifamily,1899,128664,100,2788.7,0.5,578558.9,64.8
Multifamily,1924,80898,100,1893.4,0.5,234115.9,55.6
Multifamily,1903,83000,0,439,0.3,216034.6,35.9
Multifamily,1924,73040,100,1780.4,0.6,273959.5,64.4
Multifamily,1987,60701,100,3267.5,0.6,241781,70.2
Multifamily,1935,130074,100,3262.5,0.6,381652,60.5
Multifamily,1928,79460,95,3755.2,0.8,395589,95.4
Multifamily,1988,157042,100,13308.7,0.6,812639.4,76.8
Multifamily,1964,122057,100,5922,0.7,782585.4,92
Office,1986,361646,80,14004.5,0.7,8918717.9,138.2
Multifamily,1985,60750,100,1947.2,0.5,160643.1,52.4
Office,1962,47549,100,2439.4,0.3,1657987.1,94
Multifamily,1912,54640,95,73.6,0,188918,73.1
Multifamily,1912,190000,100,989.8,0.3,1058213.2,51.8
Office,1900,122770,100,673.1,0.3,1481903,68.6
Multifamily,2000,199483,100,9234,0.6,1887433.9,82.6
Multifamily,2010,88941,100,2531.7,0.2,889430.8,45.5
Multifamily,1923,143418,100,5317.2,0.6,630265.8,72.2
Multifamily,1955,83593,100,2799.3,0.6,320895.5,67.2
Multifamily,1928,72050,100,3937.7,0.6,267295.7,67.4
Multifamily,1957,61743,100,1774.8,0.6,235270.6,64.6
Multifamily,1950,66000,100,2988.8,0.6,461411.2,75.1
Office,1926,76916,100,629.9,0.3,724824.8,67.8
Multifamily,2012,51276,100,1209.6,0.6,542314.8,88.5
Education,1914,318406,100,20594.6,0.8,5226978.4,127.8
Office,1917,110000,100,3426.1,0.5,885052.1,76.9
Multifamily,1927,174135,100,6145,0.6,1133704.2,78
Multifamily,1917,63224,100,2006.3,0.8,195936.6,79.4
Multifamily,1964,229084,100,8566.7,0.2,1644170.9,41.8
Entertainment,1999,80010,100,4674.6,0.3,2895855.6,127.6
Multifamily,2003,254889,100,6823.9,0.5,2392174.4,75.6
Multifamily,2006,73566,100,2076.5,0.4,436604.5,58.3
Multifamily,1923,73128,100,366386.7,0.7,483478.1,82.8
Other,1906,54581,100,754.8,0.1,719066.6,79.8
Multifamily,2005,248762,100,17708.6,0.3,4316940.4,77.6
Multifamily,2004,90376,100,3061,0.5,1504745.9,105.1
Multifamily,1952,176955,100,3349.8,0.4,377117,45.2
Multifamily,1996,119235,100,1722.7,0.3,1021249.9,63.1
Multifamily,1921,90120,100,3252.5,0.5,926274,86.2
Multifamily,1890,83427,100,8488.7,0.6,553559,82.1
Multifamily,2004,53560,100,2032.1,0.3,581569.3,64
Multifamily,2009,56034,100,2290.5,0.3,620977,60.1
Multifamily,2008,50407,100,5168.9,0.4,256434.1,53.6
Multifamily,2006,60502,100,2643.7,0.3,424011,50.4
Multifamily,1938,68000,100,2440.1,0.4,396052.5,55.5
Multifamily,1988,72552,100,5468.1,0.7,379850.8,80.6
Facility,2009,71965,100,21,0,46120,5.6
Multifamily,2011,65203,100,1864.1,0.1,529090.9,37.8
Multifamily,1918,72267,100,2860.9,0.6,327653.4,74
Multifamily,1918,148800,100,4969.7,0.8,920552,93.7
Facility,1955,56010,100,299.6,0.1,161865.8,19.7
Other,1870,60000,100,340.7,0.6,160087.4,72.4
Multifamily,1920,113628,95,2963,0.4,606919.4,51.9
Retail,1953,25000,100,0,0,131896.6,10.5
Facility,1850,111111,100,2347.9,0.2,287362.5,26.5
Facility,1981,55186,100,714,0.2,339320.9,37.2
Education,2014,123290,100,118.6,0.4,726049.9,57.9
Retail,1998,138741,100,848,2.2,2272489,272.9
Retail,1976,135000,100,51895.9,0.3,3385365.2,116.4
Multifamily,2008,41320,100,2177.6,0.3,422711.4,61.3
Other,1975,115652,100,151.1,0.4,1159583.7,64.2
Retail,1996,143916,100,4159,1,5981793.3,237.1
Facility,1900,250000,100,4908.7,0.3,1040929,40.6
Facility,1910,55850,100,1931.5,0.2,264894.4,27.6
Multifamily,2008,66695,100,3746.1,0.8,239225.9,88.5
Facility,1925,65025,90,189.6,0.2,337516.6,33.4
Facility,1920,158344,100,214.5,0.3,1034459.5,47.9
Facility,1918,128500,100,538,1,4455610.3,218.9
Facility,1969,56000,100,45734.4,0.1,42828,14.9
Other,1917,165500,100,1374.7,0.1,894475.4,31.7
Facility,1956,90080,100,2499.7,0.2,518973.5,37.3
Office,2009,25082,100,4671.7,0.7,634471.5,150.4
Multifamily,1995,500,100,3809.9,117,233187.3,12316.2
Facility,1892,274760,100,1812.5,0.1,1591413.9,21.1
Office,1968,49694,100,539.3,0.5,522815,75.2
Education,1962,158421,100,2484,0.4,835279.9,56.6
Multifamily,1904,51700,100,1273.9,0.6,444249.3,77.3
Multifamily,1924,51200,100,2250.3,0.7,138468.5,71.3
Multifamily,1970,71669,100,2915.9,0.5,408640.4,62.9
Multifamily,1970,52693,100,2418.5,0.6,264639.2,72.5
Multifamily,1925,77770,100,2281.6,0.1,630667.5,40
Facility,2012,70240,100,59.8,0,650960.2,32.2
Multifamily,2008,58676,100,807.6,0.7,709428.2,105.9
Multifamily,2007,139300,100,15578.5,0.4,1647297.3,73.3
Multifamily,2009,59735,100,2003.3,0.4,459324.3,66.5
Office,1920,52010,100,372,0.2,256526.3,41.2
Multifamily,1920,96340,100,9656.8,1,2086411,143.7
Multifamily,1940,165367,100,12202.1,1,842448.8,110
Multifamily,2010,158063,100,6047.3,0.2,1701857,58.3
Multifamily,2007,59690,100,2200.4,0.4,396075,64
Office,1903,61000,100,1518.5,0.2,424666.6,72.2
Multifamily,1926,57700,100,2722.9,0.7,217001.8,73.5
Multifamily,1928,68132,100,3932.3,0.7,265305,80.5
Multifamily,1941,80190,100,2061.6,0.6,287316.8,68.4
Multifamily,1928,94821,100,2509.5,0.8,298689.6,84.7
Multifamily,1928,73401,95,3450.5,0.5,309317,62.7
Multifamily,1936,72160,100,1966.6,0.5,233043,57.8
Multifamily,1929,120000,100,3081.2,0.5,366310.5,57.6
Multifamily,1935,97768,100,2515,0.7,443178.8,84.5
Multifamily,1954,56000,100,1719.6,0.7,234208.2,83.9
Multifamily,1942,68134,100,2163.4,0.6,243783.4,66.3
Multifamily,1920,61500,100,2571.8,0.5,437791.9,72.6
Multifamily,1980,147170,100,14495,0.8,747707.9,91.7
Facility,2014,61525,100,28.9,0.1,246689.1,20.8
Multifamily,2005,144493,100,7011.3,0.4,1119094.6,59.5
Multifamily,1970,70000,100,2498.5,0.5,214502.3,55.1
Multifamily,1975,118230,100,13503.8,1.1,3286575.1,198.6
Multifamily,1937,114500,100,2657.8,0.5,352891.7,55
Multifamily,1936,72756,100,2911.8,0.7,365695.9,80.2
Multifamily,1959,144595,100,6455.7,0.8,676686.2,87.8
Multifamily,1940,140595,100,3551.8,0.5,562779,68.1
Multifamily,1925,91574,100,2895.7,0.7,328043.9,72.5
Multifamily,1956,125000,100,5611.1,0.7,521681.8,74.7
Multifamily,1921,63300,100,2010.8,0.6,335430.8,69.8
Multifamily,1923,86040,100,3467.3,0.7,365542.3,76
Multifamily,1925,54928,100,2315.2,0.7,353528,84.2
Multifamily,2013,62190,100,1471.3,0,219333.4,13.9
Multifamily,2004,55274,100,2378.1,0.7,339656.8,89.5
Multifamily,1931,111990,100,9403.6,0.5,394523.5,61.5
Multifamily,1910,50622,100,2867.8,0.7,193336.9,78.8
Multifamily,1927,57850,100,2201.5,0.7,231558,83.3
Multifamily,1923,139838,100,6467.5,0.6,483043.8,65.6
Multifamily,1900,76670,100,3013.2,0.7,247919.4,75
Multifamily,1963,55314,100,4220.4,0.8,618490.8,108.3
Multifamily,1926,110000,100,9330.4,0.6,373837.2,69.5
Multifamily,1925,80700,100,840.1,0.7,69164.4,66.7
Multifamily,1928,53550,100,4006.7,0.7,212263.5,87.7
Multifamily,1928,53550,100,3226.9,0.8,215643.2,91.6
Multifamily,1928,80500,100,5259.6,0.7,307258.8,76.4
Multifamily,1930,101134,100,6037.9,0.6,372041.3,67.2
Multifamily,1925,65000,100,4168.1,0.5,437959.4,64.2
Multifamily,1930,120768,100,7018.2,0.8,422995.6,87.4
Education,2009,65941,100,2225.3,0.5,3237662,209.3
Facility,2009,66600,100,60,0.1,139219,13.9
Multifamily,1915,83623,100,4652.2,0.8,539240.5,106.2
Multifamily,1905,55200,100,3152.4,0.7,174595.6,72
Multifamily,1900,91540,100,4242.7,1.7,329099.3,182.5
Multifamily,1939,95671,100,8897.1,0.9,467124.5,97.8
Multifamily,1937,155586,100,7843,0.6,475984.6,63.7
Multifamily,1925,171993,100,13814,0.5,720708.7,121.8
Multifamily,1973,50400,100,5653.4,0.3,426405.5,98.1
Multifamily,1922,98904,100,1188.3,0.6,327583.9,64.1
Multifamily,2002,59886,100,4923.7,0.9,288986.5,95.5
Multifamily,2009,52156,100,3613.1,0.2,109975.5,30
Multifamily,1937,92688,100,3150,0.8,286333.4,81
Multifamily,1982,135031,100,7423.7,0.8,736934.4,91.5
Multifamily,2009,126216,100,6586.8,0.4,653047.6,58
Multifamily,1910,54516,100,4336.5,1,296018.8,110.9
Facility,2000,54185,100,3508,0.1,193694,19
Multifamily,1925,145863,100,10244.9,0.5,572505.7,60.6
Multifamily,1928,67900,100,8711.6,0.8,367124.9,90.4
Multifamily,1926,64470,100,4258.2,0.6,239140.3,76.9
Multifamily,1952,54300,100,40205.3,0.7,191460.2,87.8
Multifamily,1935,68000,100,3220.4,0.8,396632.6,96.5
Multifamily,2002,59828,100,2443.3,0.3,573759.7,58
Multifamily,1925,57763,100,8279.4,0.7,258767.5,120
Multifamily,1939,59148,100,4124.2,0.9,236238,92
Multifamily,1922,62502,100,7129.7,0.7,220445.5,74.2
Multifamily,1930,131103,100,8397.6,0.8,582804.5,85
Multifamily,1927,151236,100,9489.9,1.1,512028.8,123
Multifamily,1928,102070,100,18712,1.1,394468.2,124.6
Multifamily,1928,105681,90,4368.6,0.5,422145.4,67
Multifamily,1937,72130,100,3163.7,0.7,187919.2,73
Multifamily,1927,75494,100,6280.5,0.9,294995.1,99.9
Multifamily,1927,70632,100,6171.5,0.7,245250.5,80
Facility,2011,51975,100,114.9,0.4,282283.8,57.1
Multifamily,1928,82439,100,7198.9,0.7,267258.4,76.2
Multifamily,1928,86823,100,5800.1,0.6,265738.1,66.7
Office,1938,105962,100,7989.9,0.8,506681.4,86.1
Multifamily,1930,89010,100,4028.9,0.5,213897.1,54.5
Multifamily,1930,54456,100,0,0.7,218782.6,82
Multifamily,1930,114000,100,5095.2,0.5,342891.2,52.7
Multifamily,1931,125070,100,59296,0.5,653558,58
Multifamily,1931,53784,100,4309,0,189073.2,71.3
Multifamily,1926,68640,100,9529,0.8,331126.8,90.9
Multifamily,1926,146400,100,11183.5,0.1,476648,85.3
Multifamily,1939,99680,100,3560.2,0.7,349004.1,75.8
Multifamily,1931,55923,100,4390.2,0.7,67709.6,68.2
Multifamily,1929,66516,100,5833.8,0.9,254179.3,98.9
Multifamily,1932,92294,100,6429.4,0.8,330072.2,86.5
Facility,1910,80000,60,8158,0.1,141232.2,12.2
Multifamily,2009,61854,100,2323.1,0.5,263190.1,61.7
Multifamily,2012,160265,100,13255.7,0.4,557878.9,51.9
Multifamily,1922,56880,100,6121.2,0.6,308070.2,76.1
Multifamily,1928,62692,100,3392.2,0.5,216452.6,61.2
Multifamily,1927,68000,100,4781,0.6,201688.4,68.6
Multifamily,1925,89562,100,7240.5,0.6,433745.5,73.7
Multifamily,1924,97485,100,13530.8,0.5,320702.3,56.8
Multifamily,1930,90447,100,3292.6,0.5,239917.4,58
Multifamily,1928,62412,100,2647.8,0.6,199315.1,64.6
Multifamily,1930,66010,100,517.7,0.5,185304.5,60.5
Multifamily,1931,68730,100,4750.9,0.5,278944.6,65.7
Multifamily,1930,62664,100,3981.1,0.7,216953.5,74.2
Multifamily,1924,52684,100,5325.4,0.7,258910.5,80.1
Multifamily,1926,105654,100,7084.1,0.9,392419.5,96.9
Multifamily,1928,95040,100,5421.8,0.7,313806.7,73.3
Multifamily,1928,55181,100,4623.7,0.7,208360.4,82.1
Multifamily,2007,196380,100,7841.4,0.2,1182881.5,42.4
Multifamily,1928,106392,100,12921.1,0.7,472483.1,86.4
Multifamily,1927,88244,100,7057.4,0.4,373696.4,75.7
Multifamily,1926,127950,100,12466.1,0.6,613193.1,78.2
Multifamily,1924,114795,100,8777.3,0.6,375271.6,67.1
Multifamily,1920,52764,100,4992.5,0.8,175278,91.9
Multifamily,1922,86413,100,6505.9,0.6,548617.3,75.1
Multifamily,1927,63968,100,3467,0.7,299653.1,78.3
Multifamily,1930,75548,100,3744.3,0.5,245843.6,57.4
Multifamily,1937,117366,100,424.7,0.6,415317.2,72.9
Multifamily,1931,62648,100,2744.6,0.7,193403.1,72.9
Multifamily,1931,85300,100,5965.9,0.8,455674.4,93.6
Multifamily,1998,62274,100,2972.9,0.3,332335.1,48.5
Multifamily,1993,76735,100,3942.2,0.6,590419.8,82.3
Multifamily,2005,64437,100,2677.3,0.8,398448.7,96.2
Multifamily,1921,51463,100,5130.6,0.5,725307.4,91.6
Multifamily,1980,185487,100,18515.9,0.6,522420.7,68.9
Multifamily,1910,61415,100,3339.3,0.4,179239.7,43.1
Education,1891,55627,100,648.2,0.3,693582.2,72.3
Multifamily,1975,139906,100,17281.4,1,1011029,115.6
Multifamily,1973,160200,100,7927.5,1,1363478.1,119.3
Multifamily,1980,278208,100,26213.2,0.1,720030.3,15.6
Multifamily,2009,161560,100,13308.6,0.5,301363.3,55.7
Other,1930,78349,100,95.6,0.1,190356,19.7
Multifamily,2005,56858,100,2676.4,0.9,291626.8,105.5
Parking,1999,105000,100,2639.7,0.3,2789497,86.3
Multifamily,1975,77740,100,10642.5,0.6,553861.1,82.6
Multifamily,2012,80000,100,4038.7,0.3,756539.7,64.4
Multifamily,2008,115668,100,3066.3,0.3,546562.9,45.2
Multifamily,1997,73220,100,3532.6,0.6,419450.7,77.9
Multifamily,1984,120000,100,7303.2,0.6,709100.4,71.9
Multifamily,1974,190906,100,19291.7,0.9,1214472.5,102
Multifamily,1923,150965,100,10700.9,0.2,1158174.6,118.1
Multifamily,1986,59323,100,6990.2,0.8,153299.5,85
Multifamily,1920,191787,100,8893.6,0.5,1288705.8,67
Other,1935,58905,100,1607.6,0.3,405708.2,51.1
Multifamily,2009,58976,100,1767,0.5,492875.8,77.9
Facility,1996,56384,100,44,0.2,363619,37.9
Multifamily,2002,61894,95,4941.7,0.4,443335,61.8
Multifamily,1944,651914,100,27080.8,1,1385538.8,102.6
Multifamily,1954,65600,100,702,0.7,710355.3,91.8
Multifamily,1958,272000,100,13237.4,0.7,306714.2,71.3
Multifamily,1958,272000,100,14744.1,0.8,271284.6,74.9
Multifamily,2000,63200,100,5973.2,0.8,422257.5,98.1
Multifamily,1928,105360,95,5963.8,0.7,422202.9,82.7
Multifamily,1905,83500,100,2691.5,0.5,187803.1,56.5
Multifamily,1935,126625,100,8144.8,1,747206.6,113.3
Multifamily,1935,114500,100,193,0.6,993424.7,85.2
Multifamily,2002,73673,95,6192.7,0.2,161516.8,24.1
Multifamily,1946,138474,100,6002.9,0.9,442648.3,92.9
Multifamily,1970,110209,100,3804.6,0.4,303991.8,59.6
Multifamily,1963,408089,100,36274.2,0.6,1990864.4,75.8
Multifamily,1963,370990,100,16992,1.8,1920898.6,195.7
Multifamily,1987,86905,100,3004.9,0.4,529003.8,60.4
Multifamily,1963,370990,100,22430.3,0.8,1795300.6,98.3
Multifamily,1940,95960,100,3322.8,0.6,421116.5,77.8
Multifamily,1946,448000,100,20096.6,0.9,1810713.6,99
Education,1880,136000,100,187,0.6,1272799.8,81.8
Multifamily,1978,105419,100,10423.4,0.6,617705.3,76.2
Multifamily,1982,88741,100,5997.9,0.6,558899.4,77
Multifamily,1930,51834,100,4700.8,0.1,183895.4,114.1
Multifamily,2006,50925,100,2387.4,0.9,300831.6,112.7
Multifamily,2011,81169,100,406518.1,0.2,855782.3,59.4
Multifamily,1911,56368,100,2692.3,0.6,187794.8,66.5
Office,1907,398702,100,24881.2,0.1,23256573.7,111.6
Retail,1995,66903,100,2045.2,0.3,2809817.7,172.4
Multifamily,2009,110828,95,3821.8,0.3,1349313.5,60.7
Multifamily,2002,92937,100,6447.3,0.6,321721.7,70.9
Multifamily,1974,385717,100,42535.5,0.8,2538228.7,95.7
Office,1915,633686,100,22415.3,0.3,16014285.2,113.8
Education,1930,76437,100,625.6,0.6,1285304.3,108
Multifamily,2006,75350,100,1345.6,0.3,649885.9,53.4
Multifamily,1915,50123,100,2207.6,0.8,260528.3,95.3
Multifamily,2009,76689,100,2486.3,0.6,585349.4,78.7
Multifamily,2011,41775,100,1314.9,0.2,381232.5,40.8
Multifamily,1974,91372,100,11134.9,0.9,777557.8,119.9
Multifamily,2009,108352,100,5097.2,0.2,391868.6,28.7
Multifamily,2009,142037,100,5095.7,0.2,393480.4,31.7
Multifamily,1926,68099,100,5140.2,0.3,929846,70.2
Facility,1948,114500,100,37.4,0.2,3840,15.7
Hotel,1927,60460,100,6918.4,0.3,1179456,95.1
Multifamily,2007,217496,100,9096.3,0.7,1582478,89.2
Multifamily,1958,187668,100,7924.1,0.6,805264.5,77.1
