ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,127556,2005,100,36.3,5844.8,1032069.7,18233
Multifamily,71219,2011,100,51,23122.6,567575.7,3683.4
Multifamily,86008,2010,100,56.7,40963.9,519052.9,5901.9
Multifamily,65320,1925,100,88.7,50646.9,329580.5,5231.3
Multifamily,54810,1915,100,109.6,47620,455118.9,6300.1
Multifamily,193992,2006,100,55,76912.1,1040376.1,15688.8
Multifamily,82447,1850,100,54.7,21965.6,834349.9,4616.4
Multifamily,52200,1923,100,93.7,3195.4,270240.4,7413
Multifamily,63373,2008,100,51.9,24727.8,263787.2,2587.1
Multifamily,61200,1920,100,92,47202,353300.8,2642.4
Multifamily,125125,1991,100,101.6,73022.1,1687019,10815.3
Multifamily,47832,1910,100,97.4,41141.5,245924.1,9979.2
Multifamily,61178,2007,100,139.9,73399.1,390806.7,5774.2
Multifamily,59725,2006,100,83.5,41933,425007.9,4900.9
Multifamily,102166,1985,100,60.8,58663.4,479037.8,5745
Multifamily,113896,2005,100,87.3,80659.8,698833.1,1943.2
Multifamily,53744,1935,100,89.3,41723.1,265373,7265.1
Multifamily,50760,1986,100,78.9,29960.8,374477.7,3895.9
Multifamily,52650,1919,100,87.4,39267.2,270059.9,4461.8
Multifamily,88627,1960,100,106.2,82067.8,530107.2,10786.1
Multifamily,61650,1925,100,95.9,48569.4,455202.2,5625.4
Multifamily,63665,1989,100,86.2,42958.9,441257.6,4101.9
Multifamily,68390,1928,100,105.2,63318.9,251163,12807.8
Multifamily,61194,1915,100,68.5,35547.7,266482.4,4820.2
Multifamily,223636,1929,100,14,647.4,181142.1,2591.2
Multifamily,113721,1965,100,247,5308.4,796084,10124.9
Multifamily,53400,1928,100,109.8,52388,298478.4,8881.7
Multifamily,70400,1920,100,96,59448.3,416719.4,17675
Multifamily,53400,1928,100,125.5,6752.4,256828.1,636
Facility,71120,1961,0,23.6,8233.4,290120,327.3
Multifamily,72000,1928,100,114.1,68889.3,376205.8,9357.5
Multifamily,78505,2009,100,81.9,45380.7,633429.5,4013.4
Multifamily,73080,1942,100,28.6,7643,380098.4,1027.3
Multifamily,124324,1928,100,96.5,108915.8,507997.8,19230.2
Multifamily,69000,1939,100,82.5,49082.6,301534.3,2336.2
Multifamily,69832,1936,100,117.2,2581,351637.7,11904.7
Multifamily,66000,1926,100,34.8,11514.5,330025.9,8225.3
Multifamily,71820,1953,100,26.3,5026.7,315200.5,7802.6
Multifamily,53856,1939,100,79.9,2520.2,226775.9,6811.4
Multifamily,53400,1929,100,90.4,41255.1,274902.9,943.6
Multifamily,64800,1935,100,85.9,5296.6,277468.1,4991.2
Multifamily,106450,1915,100,96.8,90267.7,542613.2,13874.1
Multifamily,69416,1941,100,69.4,38624,272242.7,2137.9
Multifamily,94000,1938,100,74.5,5777.8,449147,11692.6
Multifamily,63090,1937,100,118.5,67946.8,327927.6,12801.1
Multifamily,93400,1935,100,83.7,69401.8,427008.9,9524.6
Multifamily,65550,1941,100,76.9,44006.2,265521,7194
Office,58418,1963,100,100.3,63.3,465710.2,2087.7
Multifamily,60000,1937,100,85.3,45048.7,249542.7,4922.9
Multifamily,56000,1922,100,154.8,76220.6,440737.9,2285.9
Multifamily,81667,1936,100,68.6,2110.8,269354.3,2989.2
Multifamily,69000,1937,95,109.8,3067.3,282496.9,8561.8
Multifamily,130000,1972,100,136.8,19097.3,944981.2,14591.5
Multifamily,53069,1925,100,100.7,3886.6,288772,8178.8
Multifamily,77000,1927,100,72.1,3885.9,228881.9,7701.6
Multifamily,51000,1926,100,111.9,3130.4,307703.1,1064.2
Multifamily,122827,2006,100,68.8,65210.4,694005,10783.2
Multifamily,72000,1924,95,98.2,64516.4,279999.1,10544.8
Multifamily,138752,1941,100,12.1,120.2,496946,17233.4
Multifamily,89479,1928,100,78.2,60440.1,384590.9,11727.3
Multifamily,100800,1927,100,114.2,105772.6,453662.5,13554.4
Multifamily,96990,1935,100,109.5,6350.8,392944.8,11336
Multifamily,148558,1929,100,67.7,58212.7,469219.9,11234.7
Multifamily,63790,1940,100,102,53279.6,416049.4,9380.6
Multifamily,85500,1954,100,102.9,77065,306784.9,6657.7
General Medical,447195,1939,100,139.6,13478.2,14370782.1,2437
Multifamily,148896,1963,100,83.9,99566.7,889329.5,12790.9
Office,142000,1925,100,127.7,108652.2,1889887.1,2794.2
Multifamily,69225,1937,100,109,4575.2,442650.9,7448.4
Multifamily,138000,1960,100,25.7,5644,841142.3,5057.6
Multifamily,73505,2008,100,73.8,41963.9,422226.1,7182.2
Multifamily,57380,1935,100,108.9,7299.2,285846.3,8668.9
Multifamily,52800,1936,100,101.6,45364.8,313068.3,8318.3
Multifamily,57600,1941,100,22.9,4490,245147.7,7139.4
Multifamily,62130,1941,100,87.3,48718,247805.8,9159.9
Multifamily,78095,1926,100,98.7,68095.5,399625.7,12671.4
Multifamily,57000,1935,100,85.9,3639.5,220834.9,3314.7
Multifamily,68202,1927,100,9.2,437.3,171608.9,11979.7
Multifamily,50200,1925,100,163,41017.8,519640.1,11927.3
Multifamily,85696,1925,100,72.5,52409.6,366440.4,12435.6
Multifamily,54850,1923,100,96.2,43267.8,342539.8,13574.9
Multifamily,56912,1924,100,94,45781.9,305586.4,9820.7
Multifamily,86442,1929,100,106.4,86250.1,405650.7,12769.8
Multifamily,60000,1916,100,113.8,57551.2,421038.6,2567.7
Multifamily,73692,1935,100,103.9,30604,313283,9159.7
Multifamily,99000,1940,100,68.1,5931.9,433988.5,9850.2
Multifamily,57000,1925,90,25,5345.2,252194.6,6926.2
Multifamily,61838,1920,100,72.7,22136.7,273699.9,7063.4
Multifamily,73040,1938,100,97.1,4614.4,422741.8,9727.7
Multifamily,67794,1926,100,103,30684.2,370845,10687.5
Multifamily,55692,1939,100,131.3,4035.4,294162.7,6337.2
Multifamily,67200,1928,100,82.6,48801.6,275086.5,8412.6
Multifamily,69507,2002,100,93,51849,500415.7,6765.2
Multifamily,112000,2006,100,94.9,86827.2,836636.9,9556.9
Multifamily,61143,1925,100,118.7,4046,268104.5,8439.5
Multifamily,58885,1923,100,90.1,6333.2,284895.1,10207.2
Multifamily,70000,1924,100,110.1,68564.4,330331.3,11292.1
Multifamily,56832,1926,100,72.2,3577.6,211914.1,835.3
Multifamily,56818,1940,100,104.3,20756,266623.7,810.1
Multifamily,84453,1935,100,72.2,52773.2,337915,5034.9
Multifamily,76000,1929,100,90.4,11159.1,401467.2,10304
Multifamily,86496,1952,100,55.1,16667.4,242581.5,5105.5
Multifamily,88227,2007,100,85.6,54648.5,706976.6,7223.9
Multifamily,57000,1950,100,97.1,4496.9,299932.6,4315.1
Facility,56250,1990,100,39.5,12491.5,329133.9,1048.8
Multifamily,56325,2008,100,48.3,23301.3,163798.4,495717.5
Multifamily,81502,1927,95,61.7,41280.4,340968.4,4174.1
Multifamily,70700,1960,100,61.9,3753.8,96493.7,10394.9
Facility,128864,2007,100,6.1,4543.1,0,332.8
Multifamily,60000,1925,100,61.1,2631.8,279816.6,6126.4
Multifamily,60528,1927,100,76.5,39131,297618.8,5270.8
Multifamily,61640,1927,100,94.7,51802.6,293090.8,9235
Multifamily,92425,1915,100,169.7,138297.8,884810.6,6071
Multifamily,84700,1928,100,103.3,36010.6,262953.3,5635.4
Multifamily,98700,1928,100,83.1,2999.4,399268.5,8537.5
Multifamily,90708,1949,100,109.9,83134.6,473237.3,18893.4
Multifamily,62685,1938,100,117.2,67547.6,319651.5,6450.1
Multifamily,107477,1940,100,73.2,71008.3,355595.5,8113.4
Multifamily,61700,1922,95,103.1,53349.8,534081.3,8162.8
Multifamily,51000,1932,100,89.9,36843,273312.3,4745.3
Multifamily,89745,2005,100,85.7,60036.1,611858.2,9421
Multifamily,50400,1924,100,76.8,30842.7,295794.2,6648.7
Multifamily,72000,1925,100,68,39443,263562.5,5441.2
Multifamily,60301,1924,100,8.1,4502.6,18389.5,4893.4
Multifamily,60301,1924,100,7.2,3556,25068.5,5626.5
Multifamily,81500,1929,95,88.7,23789,316759.1,6434.1
Multifamily,106520,2003,100,95,83462.1,650555.9,12909.9
Multifamily,70500,1928,100,126.4,6059.4,313917.8,10187.7
Multifamily,87110,1924,100,78.5,61092.4,419673.4,13873.4
Multifamily,57750,1920,100,91.7,44956,233615.1,8154
Multifamily,72600,1925,100,84.2,53251.4,328587.2,5575.8
Multifamily,78167,1939,100,94.4,64395.8,301629.3,5824.9
Multifamily,66604,1925,95,79.9,46196.3,299141.6,4668.6
Multifamily,173000,1963,100,102.3,157518.6,885066.7,20947.3
Multifamily,72800,1928,100,87.3,3445,287121.3,10000.7
Multifamily,66400,1925,95,75.4,41593.5,319611.2,4992.4
Multifamily,67100,1928,100,77,46726.8,227820.7,4925.2
Multifamily,50200,1924,95,60.6,24922.9,227905.9,2702.7
Multifamily,55750,1925,80,74.8,885.4,137481.9,7118.8
Multifamily,98718,1924,95,77.9,67043.1,418908.7,6882.1
Multifamily,62000,1927,100,96.6,53234.7,261959.3,6317.2
Multifamily,63000,1990,100,97.9,52456.7,368545.8,9310.2
Multifamily,77000,1928,100,86.3,56628.3,394067.2,7685.5
Multifamily,75116,1927,100,64.6,42729.3,283421,4094.1
Multifamily,59600,1922,100,106.5,57237.7,291816,6735.9
Multifamily,59433,1924,100,101.5,782.1,115133.7,0
Multifamily,90618,1933,100,88,71934,357650.7,8690.1
Multifamily,55700,1926,100,100.1,1467.9,274906.7,3862.2
Multifamily,75420,1927,100,98.3,64014.6,399898.8,7753.7
Multifamily,68870,1923,100,110,66432,384193.9,5670.2
Multifamily,56000,1924,100,114.7,55066.3,490499.1,4855.1
Multifamily,64614,1942,100,77.5,44874.6,251885,8369.3
Multifamily,119919,1969,100,146.9,164663.9,637776.7,12752.8
Multifamily,129677,1929,100,194.4,111335.3,1296771.8,14486.4
Multifamily,95401,2012,100,71.3,54658.6,509022.1,7720.6
Multifamily,157850,1964,100,58.7,51832,672854.5,14686.6
Multifamily,272370,1974,100,100.4,256392.7,1067382.2,17431.3
Multifamily,157625,1964,100,69.7,61594,611577.8,8990.8
Multifamily,84600,1941,100,50.4,3603.8,202308.6,4985
Multifamily,50115,1931,100,40.3,12941,232213.5,10633.1
Multifamily,107451,2007,100,60.3,7743.3,743103.1,14333.6
Multifamily,63600,1956,100,112.1,6097.7,308568,4952.1
Multifamily,79517,1924,100,102.2,3623.2,303104.6,12548.9
Multifamily,122650,2004,100,100.6,99759.7,852592.1,14418.4
Multifamily,78300,2011,100,61.3,22454.3,777403.2,5087.5
Multifamily,105983,2008,100,70.9,58023,609266,8558.8
Other,25600,1920,100,33.5,11983.7,201111.1,0
Multifamily,60105,1927,100,72,37681.7,262235.4,6226.1
Multifamily,60720,1927,100,98.9,55428.4,250835.2,4284.1
Multifamily,285937,2008,100,64,143395.3,1489762.6,8908.7
Multifamily,54306,2005,100,71.1,33602.9,215523.2,5793.7
Multifamily,75978,1926,100,128.4,92762.6,347014.6,6026
Multifamily,64300,1926,100,112.2,65961.9,324698.2,6073.4
Multifamily,101262,1926,100,127.3,9943,752633.7,10625.7
Multifamily,52882,1913,100,106.8,49392,292655.6,27408
Multifamily,54145,1931,100,74.2,34588.6,233972.9,7411.7
Multifamily,76800,1926,100,54.1,30043.9,362825,9802.5
Multifamily,96882,2005,100,72.8,40809.1,994093.7,19867
Multifamily,100613,2009,100,66.4,47797.7,716394.3,4994.2
Multifamily,67986,2002,100,132.7,81977.1,421084.1,6264.3
Multifamily,134707,2006,100,91.5,105634.4,906885.5,13649
Multifamily,64362,2008,100,101.5,26583.8,1221730.6,11734.7
Multifamily,112372,2009,100,68.7,35583.1,1284521.3,5849.9
Facility,97101,2006,100,7.6,2443.5,0,5984.4
Multifamily,76268,1910,100,88.5,46575,613153.9,2454.1
Multifamily,90651,2010,100,67.8,41700.2,635948.9,5689.1
Multifamily,54494,2002,100,81.6,35179,343587.2,5928.3
Multifamily,111375,1974,100,64.8,70455.4,168936.7,226.3
Multifamily,73500,1929,100,134.4,8262.2,776465.6,5988.2
Facility,70738,2004,80,13,6154.3,113767.6,33.7
Multifamily,66960,1925,100,117.9,61671,505870.9,9682.8
Multifamily,66569,1928,90,119.3,5180.6,290919.6,13590.6
Multifamily,50000,1930,75,114.2,3360.1,221149.9,149269.9
Multifamily,98232,1928,100,115.5,93680.5,711762.9,16821.1
Multifamily,56160,1907,100,7.3,3992.2,6688.5,5967.5
Multifamily,70808,2005,100,89.5,60962.3,443959,7974.9
Office,370805,1986,100,86.8,70988,8272197.8,22200.7
Multifamily,82200,1935,100,138.5,22306,482181.8,15396.7
Multifamily,111927,2009,100,101.6,64521.1,1570522.7,7652.1
Multifamily,83077,2004,100,115,80096.9,583941.6,14922.1
Multifamily,73533,2006,100,73.7,46583,470070.6,6351.5
Multifamily,90994,1983,100,74.8,56101.3,474937.8,6831.7
Multifamily,47142,2012,100,68.4,24913.6,402919.9,4142.6
Multifamily,84126,2007,100,87.4,58118.6,550538.7,8906.4
Office,67815,1995,100,132.1,38267.4,1604587.1,1003.1
Multifamily,104278,2007,100,71.2,59557.8,551440.2,7607.3
Multifamily,99363,2005,100,66,51410,517112.7,5955.2
Multifamily,73326,1925,100,144.8,99375.2,326764.4,6300.7
Multifamily,72203,2003,100,96.4,58552.3,417376,6994.8
Multifamily,58000,1913,100,84.1,37730.1,340684.7,261.1
Multifamily,55780,1925,100,143,3027.3,223064.8,4792.8
Multifamily,54635,1930,100,145.4,2889.8,220773.6,4781.2
Other,82856,1977,100,122.3,27286.3,2291278.7,1074588.5
Multifamily,108790,1927,100,79.9,76889.7,465646.8,8639.3
Multifamily,87642,1940,100,76.9,19985,321842.5,7921.8
Multifamily,55000,2003,100,90,42840.6,287905.1,5082
Multifamily,93892,2004,100,72.4,52589,544319.3,6160.5
Multifamily,79154,1986,100,103.3,72829.3,445383.4,5100.2
Multifamily,60000,1924,100,102.9,5151.2,332771.9,7714
Multifamily,199500,1971,95,144.4,143898.9,4612492.8,33741.1
Multifamily,75644,1960,100,80.6,51223.4,372527,9949.4
Multifamily,375225,1972,95,31.1,56980.4,1878387.4,12287.6
Multifamily,86275,1971,95,87.3,31460.4,1367600.2,803.5
Multifamily,75502,1937,100,99.4,6975,319201.7,208
Multifamily,83058,1928,100,86.4,66794.2,286895.5,6708.9
Multifamily,58926,1936,100,83.8,43268.8,258447.4,5850.6
General Medical,204433,1922,100,25.8,1852.2,1432861.3,6699.8
Multifamily,67032,1937,100,126.7,79299,301097.8,12041.4
Other,47146,2004,100,111.7,45836.1,2052007,3553.1
Multifamily,75180,1942,100,102.1,2753.5,344383.8,1678.3
Multifamily,51285,1925,100,129.8,3266.3,283859,7574.6
Multifamily,87156,1925,100,72.1,4856.6,456212,20379.2
Multifamily,74580,1935,100,22.9,4553,358122.9,9687.3
Multifamily,51000,1923,100,133.7,3462,298039.6,5371
Multifamily,53760,1940,100,129.7,64173.5,256346.4,7030.9
Multifamily,79284,1942,100,117.5,80045.6,536665.9,2086.9
Multifamily,75415,1938,100,66.6,44721.7,344616.5,5567.4
Multifamily,83910,1925,100,64.1,6138.2,386208.8,7354.2
Multifamily,73121,1927,100,66.1,37370.9,309608.2,6249.7
Multifamily,85507,1928,100,56.3,5960,369262.8,9165.2
Multifamily,58896,1922,100,107.4,58687.7,239509,7036
Multifamily,74134,2008,100,72.6,41652.6,427252.4,6263.4
Multifamily,57000,1927,100,113.8,9614.5,412085.5,3133.2
Multifamily,95509,2003,100,74.1,55762.5,520383.8,9988
Multifamily,81800,1930,100,88.1,66832.8,285627.3,8120.9
Multifamily,92588,1927,100,101.8,8348.2,389478.4,1712
Retail,55120,1919,100,75.7,23.5,837442.7,1075
Multifamily,55440,1942,100,80.8,41992.6,172700.9,2333
Multifamily,65028,2008,100,83.7,45605.7,394256,5873
Multifamily,51117,1925,100,112.7,48622,263991,8236.8
Multifamily,62881,1927,100,115.1,41051.7,267818.4,5913.2
Multifamily,53928,1927,100,113.8,2845.9,304960.3,3428.6
Multifamily,61600,1939,100,17.7,2875.7,225698,5395.6
Multifamily,85404,1928,100,100.4,77046.6,379294.6,9734.7
Multifamily,69800,1960,100,82.8,3574.3,71714.1,5091.2
Multifamily,76590,1921,100,68.1,45020,291149.7,8875.3
Multifamily,54723,1923,100,111.5,46889.1,521833.9,7488.7
Multifamily,65208,1954,100,68.2,37622.4,262115.8,4437
Multifamily,57562,1936,100,100,5424,310193.5,1287.9
Multifamily,54000,1941,100,85.1,2959.4,203615.9,0
Multifamily,62100,1927,100,97.6,54260.6,270067.6,7180.5
Multifamily,68570,1922,100,126.7,70628.6,633205.8,9017.8
Multifamily,60000,1924,85,111.6,243.3,48733.6,11610.1
Office,34500,1922,100,135.6,44400.2,2349194.4,3733.6
Multifamily,93180,1936,100,88.6,72303,398044.2,8482
Multifamily,52500,1941,100,84.3,2691,205025.6,4089.8
Multifamily,53430,1925,100,106,2279.7,272420.8,8405.1
Multifamily,61554,1920,100,86.7,2739.5,350400.7,243.6
Multifamily,144062,1938,100,73.1,89048.5,593792.9,21309.2
Multifamily,60034,1959,100,67,35182,221432.4,6810.3
Multifamily,52200,1925,100,99.8,47070.7,229464.6,7698.9
Multifamily,56388,1928,100,79,38733.4,249831.7,4920.8
Multifamily,257181,1926,100,35.8,36662.1,1702051.2,9425.9
Multifamily,81144,1931,100,72.2,45760,273805.7,7325.9
Multifamily,79000,1963,100,71.1,44691.2,422503.4,5998.5
Multifamily,138000,1920,100,50.8,72549.2,74834,155137
Multifamily,60133,1924,100,13.7,429.6,228075,7030.2
Multifamily,81900,1924,100,92.1,133,375094.8,10741.9
Multifamily,53621,2010,100,68.6,25814.9,402675.8,2531
Multifamily,58585,1922,100,106.6,58349.4,229528.6,5843
Multifamily,60000,1939,100,55.9,3374.8,269017.2,7330.5
Multifamily,103366,1937,100,78.4,4244.8,343484,7333.4
Multifamily,55026,1925,100,111.7,51917,279499,7861.3
Office,84385,1927,100,87.7,74490,356111.9,7480.1
Multifamily,1230965,1950,95,105.5,1186916.5,5607709.8,30756.2
Multifamily,65300,1925,100,102.6,49385.6,515364.6,10206.6
Multifamily,87210,1927,100,623.1,77,2020,8352
Multifamily,185000,1952,100,80.1,124516.9,982185.4,16639.7
Multifamily,90650,1940,100,77.1,62569.3,352301.6,7047.3
Multifamily,70400,1931,100,90.1,53234.8,282285.1,2648
Multifamily,70400,1932,100,45.5,25193.9,248009,4829.8
Multifamily,67914,1927,100,88.1,55110.4,243932.1,7034.2
Facility,58350,2009,100,28.3,11224,155917.6,33
Parking,126208,1952,95,16.9,19229.4,103484.4,99.9
Multifamily,200000,1955,100,101.5,180094.4,1085493.2,11149.2
Multifamily,50800,1922,100,114.5,2840.5,219182.1,5848.3
Multifamily,100333,1952,100,105,4267.8,343954.7,4957.7
Multifamily,66255,1949,100,126.8,3122.2,271336.4,5894.3
Multifamily,60200,1927,100,86.3,43764.4,231796.4,1341.4
Multifamily,58990,1929,100,142.4,4004,358713.4,10750.2
Multifamily,105000,1973,100,101.7,92604.6,590560.4,13562
Facility,46680,2003,100,39.1,3648.7,463987.4,1.6
Retail,157011,2004,100,98.1,37417.1,3515328.1,347
Multifamily,57800,1958,100,79.9,24773.9,587482.3,3994.6
Multifamily,200369,1926,100,91.8,174260.1,934612.8,717.3
Multifamily,60000,1927,100,185.7,55527.7,219128.8,7054.2
Multifamily,88655,1937,100,62.7,50057.3,273393.2,5223
Multifamily,79000,1922,100,162.2,47943.6,666216.9,10473.5
Multifamily,53148,1925,100,66.7,27124.9,238293.8,5546.2
Multifamily,114697,1949,100,108.1,7098.7,550658.4,7941.3
Multifamily,70200,1925,100,129.3,3580.4,291395,11593.1
Multifamily,71550,1926,100,76.1,49092.5,225403.8,1099.3
Multifamily,91620,1927,100,85.9,71766.3,331759.8,1226.6
Multifamily,51100,1962,100,90.2,3092,277133.6,2930.9
Multifamily,54000,1928,100,109,52721.4,278675.2,5882.2
Multifamily,103149,1937,100,19.6,5763,413011.8,6421.3
Multifamily,75560,1959,100,117.9,83097.2,350426.2,5787.6
Multifamily,52200,1927,100,23.4,4438,217473.5,7905.2
Multifamily,106000,1926,95,24.6,5597.2,398827.5,11109.8
Multifamily,111417,1927,100,78.2,6683,396255.3,12712
Multifamily,137410,1938,100,22.7,15330,444862.3,15446.6
Multifamily,89960,1941,100,59.9,44786,260308.2,5334.4
Multifamily,419334,1967,100,93.9,333177.4,1676884.8,29456.6
Multifamily,213241,1989,100,108.6,135113.4,2715293.5,10075.1
Multifamily,72420,1926,100,91.3,1458.2,43535.9,5298.8
Multifamily,65100,1963,100,49.2,27485.9,199661.2,2472.9
Multifamily,76860,1923,100,145.4,109843.8,271976.3,10127.8
Multifamily,76860,1923,100,17,3872.3,263492.9,4657.1
Multifamily,151244,1922,100,81.2,109828.3,558623.2,3427.1
Multifamily,160597,1963,100,81.4,12004,590085.7,11580.5
Multifamily,75390,1960,100,103.6,2363.6,327313,3265.7
Multifamily,118384,1927,100,68.7,5041.5,329591.8,40338.1
Multifamily,77002,1935,100,68.8,47906.7,231266.8,5429.4
Multifamily,112530,1963,100,100.2,100848.5,555770.6,5469.6
Multifamily,53349,1962,100,123.9,29416.3,407199.8,1307.2
Multifamily,71870,1927,100,89,4359.5,291905.1,6769.5
Multifamily,111300,1965,100,112.7,6426.2,787113.6,10646.4
Multifamily,84630,1962,100,87.7,3126.6,444659.5,4470.4
Multifamily,82950,1959,100,77.7,57001.2,315499.9,1098.2
Multifamily,89229,1955,100,72.7,3607.9,433389.4,4556.1
Multifamily,115429,1928,100,103.7,6472.4,444263.9,11716.7
Multifamily,61000,1925,100,73.4,1858.2,157752.1,3762.9
Multifamily,54001,1925,100,144.1,2874.8,253076,592.6
Multifamily,81019,1941,100,20,4104.6,345188.9,5406.3
Multifamily,121796,2004,95,78.2,76653.4,702316.5,6971.1
Multifamily,77000,1983,100,114.6,25749.6,313240.9,3320.6
Office,59000,1927,100,44.8,5422.3,632553.4,223.6
Multifamily,65000,1961,100,104.5,3757.8,333867.9,5077
Office,118423,2013,100,64.4,24695.5,1522617.2,902.5
Multifamily,92155,2000,100,97.6,75927.3,735031.7,8070
Multifamily,48000,1956,100,149.9,3109.5,406897.6,101.4
Multifamily,94050,1986,100,54.6,35658,445189.4,5211.2
Multifamily,88500,1927,100,131,12932.2,867445,6455.3
Multifamily,96250,1950,100,53.5,42545.3,249223.2,2873.3
Office,83728,2000,100,101.8,82066,423561.5,7998.5
Multifamily,86875,1955,100,60.5,3591.5,282161.5,4024.5
Multifamily,90400,1950,100,52.1,39934.3,303049.7,3651.2
Multifamily,59040,1956,100,96.3,2586.1,242967.2,4652.8
Multifamily,55226,1931,100,92.4,23815.2,206236.1,3744
Multifamily,65000,1920,100,96.8,58099.8,237281,5968.7
Multifamily,56300,1931,100,66.1,2421,154562.2,3686.9
Multifamily,89915,1973,100,87,5405.3,358312.9,9903.5
Multifamily,60587,1922,100,70,34608.4,222711.7,9351.5
Multifamily,81735,1966,100,89.5,3491.8,313859.2,5358.2
Multifamily,69300,1937,100,68.6,41362.6,276821.3,7356.3
Multifamily,71145,1941,100,85.8,56690.9,232462.8,8678.1
Multifamily,54900,1930,100,86.3,3013,200972.3,5009
Multifamily,73528,1937,100,51.9,34756.8,189287.3,3055.8
Multifamily,66600,1954,100,81.4,48949.9,236081.5,468.5
Multifamily,72486,2009,100,62.6,38098.9,316890.2,2732.6
Multifamily,69960,1931,100,83.8,50641.1,351476.4,3271.7
Multifamily,72486,2009,100,65.3,38729.3,348566.2,4153.2
Multifamily,100875,1927,100,77.8,69774.9,384713.3,9107.5
Multifamily,63974,1926,100,62.7,35281.9,218417.7,3560
Multifamily,57620,1930,100,74.3,2578.3,185008.4,4509.1
Multifamily,66780,1953,100,99.8,60146.9,330653.9,3218.1
Multifamily,61048,1922,100,62,9818.8,196885,11113
Multifamily,68340,1948,100,68.2,1367.3,222835.6,4625.6
Multifamily,59570,1955,100,106.8,4375.7,211477.5,1979.4
Multifamily,71100,1948,100,82.1,3528.4,245287.3,3942
Multifamily,73700,1954,100,81.8,3837.2,319738.5,4770.7
Multifamily,59085,1955,100,65.5,17951.8,636070.8,4665.6
Multifamily,93600,1940,100,92.4,5621.3,413494.7,8002.6
Multifamily,63430,1937,100,97.5,2121,209564.9,4809.2
Multifamily,69166,1954,100,38.1,1577,713058.8,2400.3
Multifamily,56611,1950,100,97.2,1825.9,201425.8,4001.3
Multifamily,79380,1940,100,57.8,2568.3,211193.5,5200.2
Multifamily,98580,1929,100,73.6,66315.2,305491.6,7846.1
Multifamily,255200,1929,100,63.3,12639.3,879729.3,24171.8
Multifamily,73974,1929,100,80.3,51423.6,310538,11212.4
Multifamily,79920,1923,100,20.6,1472.5,292189,2187
Multifamily,60400,1926,100,65.1,3709,247456.3,6664.8
Multifamily,80889,1933,100,87.3,58278.6,352560.1,11250.5
Multifamily,56265,1924,100,118.6,4306,257261.4,8687.4
Multifamily,56910,1923,100,95,3272,231485.3,5188.2
Multifamily,50676,2012,100,70.8,22899.6,421775.4,2268
Multifamily,65100,1937,100,72.8,43601.3,203141.5,4244.4
Multifamily,50762,1925,100,73.9,30707,200117,3874.9
Multifamily,61286,1927,100,92.9,2451.4,225018.6,4547.4
Multifamily,67500,1900,100,105.1,76356.8,35814.9,8579.4
Multifamily,129000,1956,100,100,105830.1,928967.7,7270.3
Multifamily,93000,1963,100,69.9,53043.3,456626.1,3294.2
Multifamily,66822,1929,100,98.4,60225.8,256342.1,10681.8
Multifamily,100333,1936,100,77.1,3092.3,308026.9,6126.5
Multifamily,81060,1941,100,78.9,2762.7,241067.1,8131.3
Multifamily,62563,1939,100,88.4,48454.4,203619.4,3313.1
Multifamily,150135,1956,100,102,5532.4,1010413.6,12243.6
Multifamily,95921,1928,100,65.5,57834.9,284595.2,5791.4
Multifamily,93000,1928,100,48,36512.4,337833.8,9797
Multifamily,73794,1924,100,61.9,3596.8,333926.1,7923.3
Multifamily,89580,1926,100,70.6,56370.7,310152.4,10951.2
Multifamily,53575,1936,100,110.4,52721.4,193019.1,6115.6
Multifamily,52758,1932,100,79.1,37445.6,198182.7,4447.2
Multifamily,53406,1940,100,96.3,47202.4,209412.9,4805
Multifamily,79600,1927,100,79.8,19149.6,318192.6,11886.1
Multifamily,100282,1928,100,142.9,3562.1,308926.5,6758.2
Multifamily,62548,1920,100,68.7,37226.7,227557.8,6603.1
Multifamily,74293,1932,100,100.7,66674.5,354095.5,10204.2
Multifamily,77850,1940,100,69,47653.9,259946.1,4216
Multifamily,51896,1946,100,88.7,42820,203093.2,4275.2
Multifamily,86766,1938,100,82.5,2587,298055.1,5151.1
Multifamily,67320,1939,100,102,1905.9,359853.5,6569
Multifamily,52668,1933,100,84.9,40295.8,197033.2,4304.3
Multifamily,102412,1932,100,86,79642.9,398431.8,10319.7
Multifamily,66836,1941,100,102.4,3087,232385.8,4796.8
Multifamily,94250,1928,100,65.1,56375,293571.8,8933.6
Multifamily,125000,1935,100,87.7,92748,479877.9,6688.5
Multifamily,60366,1926,100,119.3,3621.3,307854.3,7334.4
Multifamily,61654,1926,100,77.9,3127.5,235098.2,2299
Multifamily,83125,1939,100,78.6,2805.3,256380,546.9
Multifamily,66469,1927,100,16.3,2858.2,228511.7,9330.6
Multifamily,109783,2006,100,69.4,57770,637845.5,11442.7
Multifamily,87500,1928,85,21.2,6903.1,449673.7,12755.3
Multifamily,51450,1926,100,91.8,1509.6,183983.3,5139.1
Multifamily,64400,1939,100,73,7234.1,246400.4,4677.8
Multifamily,68501,1940,100,102.6,3968.9,280800,12072.1
Multifamily,73566,1927,100,77.6,18409.8,369586.1,4832.9
Multifamily,71028,1928,100,87.8,57621.7,240344.4,6736.8
Multifamily,56000,1924,100,70.1,35525.8,175429.6,5103.6
