ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,66834,1920,100,102.2,52217.2,1616050.6,4951.4
Multifamily,71550,1920,100,75.1,44109.9,344899.4,1506.6
Office,80149,1920,100,118.9,31039.1,1991760.3,1417.7
Multifamily,48000,2009,100,98.7,24116.5,894508.9,2428.2
Multifamily,73954,1985,100,77.8,508.5,384800.1,1371.2
Multifamily,84100,1915,100,65.5,24496.8,938056.7,2940.4
Office,45519,1915,100,112.8,25950.6,940772.3,1965.1
Office,133010,1930,100,147.8,25857.3,2853029.5,6188.6
Hotel,75000,2005,100,216,94029.5,2383502.7,8228.6
Multifamily,79804,1985,100,110.4,75849.2,1037754.3,11820.2
Office,46200,1956,100,183.1,54660.2,1659507.8,3186.1
Multifamily,70771,1915,100,103.8,46337.8,1049434.7,2615.1
Multifamily,80366,1999,100,69.1,19702.3,1648572.2,8329.8
Multifamily,59496,1985,100,101.5,5680,767869.9,5486.9
Multifamily,87719,1985,100,59.9,34892.1,792024.2,2626.4
Multifamily,163242,1905,100,75.2,53228.1,2308290.3,5096.6
Multifamily,125637,1985,100,47.9,15503.4,1454076.9,3208.9
Multifamily,68427,2000,100,81.3,44549.8,744237.2,1738.7
Office,44968,1915,100,122.2,22728.7,1334550.7,1785.1
Office,129949,1911,100,98.8,36755.9,2788498.7,7978.9
Office,36280,1991,100,76.3,10793,910498.2,1151.2
Multifamily,55330,2004,100,105.9,52255.6,1669081.2,4580
Multifamily,54678,2003,100,61.2,18712.1,472951.9,1098.2
Multifamily,61750,1900,100,83.8,30627.4,689946.4,2595.1
Hotel,67870,2008,100,114.1,50241.3,841698.2,6877
Multifamily,153833,1915,100,50.9,58518.2,728650.1,3376
Office,57751,2004,100,106.9,788.6,1715463.7,3441.3
Multifamily,125674,2004,100,91.3,54177.1,1961244.1,5680.5
Multifamily,58015,1930,100,80.8,32630.4,506764.3,2612.2
Multifamily,176493,1913,100,70.2,51718.8,2250570.3,5569.9
Multifamily,64231,1950,100,74.8,29150.8,627070.5,1962
Multifamily,100984,1985,100,55.6,31891,780012.9,2221.7
Multifamily,103251,1915,100,34.8,9787.1,776857.8,847.8
Multifamily,54250,1910,100,72.4,291.8,273420.9,2197
Multifamily,76856,1995,100,59.3,48478.8,228036.4,4207.8
Multifamily,61717,1900,100,67.1,18633.3,711043.5,2058.8
Office,312837,1927,100,84.3,83122.6,5695352.3,5695
Multifamily,59838,1962,100,52.6,16700.4,485308.3,2527.7
Multifamily,83968,1920,100,87.1,45872.5,904541.8,2525
Multifamily,82544,1910,100,56.8,31514.6,552033.6,1499.9
Office,878120,1929,100,67.9,202898.7,12874832.9,19091.8
Hotel,186891,1996,100,122.8,21589.4,3550554.3,14279.1
Hotel,56735,2008,80,143.9,33339.4,1492256.9,3629.5
Multifamily,124293,2009,100,90.7,65198.2,1686168.7,3314.6
Office,40000,1865,100,139.8,943.3,2641238.8,1538.9
Office,58000,1910,75,73.5,604.4,1205590.3,826.6
Hotel,126529,2010,90,136,73038.7,2975051.1,9898.5
Office,126053,1913,100,75.2,28194.1,2374967.6,3570.1
Office,44200,1915,100,66.1,2876.6,945626,2821
Multifamily,44200,1915,100,155,65696.6,858685.2,7804.8
Multifamily,53065,1933,100,108.7,55186.4,429299.4,4170
Multifamily,267018,1978,95,74.9,170317.4,1286371.6,17837.3
Multifamily,630395,1979,100,79,441358.8,2690210.9,68959.2
Multifamily,83905,1987,100,114.1,90499.3,363389.2,7647.3
Multifamily,1396625,1935,100,87.4,85686.1,9319669.7,111668.7
Multifamily,966030,1955,100,107,904901.3,4456123.4,40924
Multifamily,130576,2013,80,36.4,22678.7,816343.3,2250.1
Multifamily,69285,2002,100,112.2,52966.3,790736.1,8074.8
Office,58301,1991,100,82.4,20012.2,903669.3,3146.3
Multifamily,50673,1912,100,77.2,27774.1,386608.8,909.1
Multifamily,65989,1968,100,73.5,31197.9,639426.1,4274.9
Multifamily,970540,1955,100,107.6,916068.2,4540519.8,40528.5
Multifamily,216200,1929,100,102.1,4850,1117500.7,15381.4
Multifamily,268430,1949,100,105.3,240712.5,1826350.3,18690.5
Multifamily,564060,1949,100,100.8,484360.5,2835192.8,38538.1
Multifamily,119893,1906,100,66.4,65781.3,545383.4,5228.8
Multifamily,50124,1930,100,46.9,11047.1,404824.8,1231.4
Multifamily,205821,1983,100,58.8,94086.8,918990.7,15614.1
Multifamily,58974,2005,100,56.6,24848.9,362602.8,4602
Multifamily,107740,2010,100,42.3,33822.3,421821.9,3477.1
Facility,104680,1928,100,34.4,31279.9,280207.5,55.2
Multifamily,51802,2005,100,71.5,27436.8,346637.4,2074.4
Multifamily,74359,2001,100,116.8,56776.9,1005506,4350.3
Multifamily,94008,1928,100,70.3,57169.2,409285.9,2277.8
Multifamily,102000,1973,100,118.3,5661.1,746153.1,9679
Multifamily,55947,1940,100,71.2,1352.8,224155.5,2049.8
Multifamily,52265,1938,100,28,458.6,448090.5,2718.5
Multifamily,83223,1970,100,58.6,30702.4,587026.9,2989.8
Hotel,70000,1985,100,160.6,66710.9,1436903.8,6047.3
Hotel,83000,2007,100,218.1,108646.1,2160919.3,7605.4
Multifamily,210043,2007,100,90,109783.9,2591434.1,10386.7
Hotel,109858,2007,100,111.7,72708.5,1576761.1,10335.4
Office,61282,2005,100,143.7,62059.8,912763,2226.2
Multifamily,42772,2000,100,235.8,76821.7,1809513.5,6463.2
Entertainment,60000,2007,100,221.6,55505.1,2282351.7,787.4
Retail,85995,1920,100,59.8,0,485557.1,1239.5
Multifamily,122406,1929,100,64.1,59060.9,662038.6,4283.8
Multifamily,858068,1962,100,95.3,707949.1,4389353.1,75342.3
Multifamily,94773,2007,100,77.8,45590.7,929364.2,3479.2
Facility,61111,1923,100,24.9,9645.9,213216.3,123.4
Multifamily,67763,1929,100,69.9,1844.2,546886,2884.2
Multifamily,75000,2002,100,66.4,35778.7,478266.4,2688.4
Multifamily,106432,1929,100,75.3,4083.8,937992.6,7643.6
Multifamily,83734,2001,100,89.6,50444.1,833992.2,4810
Multifamily,122689,1981,100,66.7,69046.6,487878.6,7453.4
Multifamily,69862,1929,100,62.9,0,343151.6,3331.8
Entertainment,67347,1920,100,77.5,26915.9,908138.5,896.2
Multifamily,47362,1925,100,99.5,40421.5,767664.2,7445.4
Multifamily,64031,2010,100,65.2,19546.7,757106.3,1814
Multifamily,91682,2016,90,39.5,13691.4,676452.5,2587.6
Retail,46752,1874,100,130.1,206.7,1855314.1,6276.3
Multifamily,50064,1904,100,98.7,6846.8,540591.4,1340.9
Multifamily,56807,1890,100,92.4,33996.9,617372.2,2534.7
Multifamily,70759,1900,100,79.7,233.2,544771.3,2487
Retail,42100,1986,100,30.3,394.5,386362.6,431.9
Office,362151,1930,100,65,75506.1,5140373,2570.3
Multifamily,125610,1950,100,76.9,18007.4,800347.7,4943.1
Multifamily,64382,1929,100,71.4,33893.2,629863.6,3210.6
Multifamily,162738,1913,100,68.9,84292.9,1309277.8,7193.3
Multifamily,86219,1926,100,75.4,25578.1,1394151.2,2797.8
Office,120000,1907,100,60.8,10.5,1685677.9,1660.4
Office,78066,1900,100,123.7,48007.2,1474913.7,6857.4
Office,83753,1900,100,62.1,16116.4,1827810,1853.8
Retail,120656,2004,100,73.8,4161.1,2534776,2457.5
Multifamily,52600,1900,100,70.6,35185,752819.3,1929.3
Multifamily,52936,1920,100,50.9,756.3,270964.5,417.4
Multifamily,30201.9,1900,100,51.3,16808.5,410932.1,400.1
Office,70000,1900,100,81.7,78,1407894,777.2
Multifamily,60036,1900,100,48.4,2188.3,245995,552.8
Multifamily,44185,1985,100,50.5,28446.7,231331.6,418.9
Office,234219,1929,90,52.9,41274.3,2362540.2,1164
Office,53352,1985,100,69.2,28376.6,470565.1,2902.4
Hotel,380427,2010,75,103.6,3087.9,6000653.8,32667.9
Multifamily,57152,1911,100,54.7,24900.7,263772.6,1282.2
Multifamily,74184,1926,100,172,34538.5,1157838.9,11692.1
Office,46740,1912,100,67.4,18240.6,801572.6,1329.3
Office,54800,1900,100,139.1,24695.5,1522617.2,916.6
Office,54978,1900,100,86.1,12,1190362.4,497
Office,113053,1890,100,95.3,12604.4,2778493.9,3779.9
Multifamily,40000,1860,100,65.1,28338,29310,988.5
Office,221000,1920,80,37.4,33802.3,1532915.7,3750
Multifamily,76459,2005,100,66,34539.1,612345.8,1979
Office,69500,1985,100,61.7,6094.3,1413920.4,1695.1
Multifamily,57122,1920,100,54.4,3956.4,382139.7,849.4
Office,214110,1926,95,82.4,61727,3498476.6,2193.5
Multifamily,202793,1966,100,81.6,133099.8,901704.8,8884.3
Office,301968,1983,100,101.6,94847.3,6481809.2,7904.1
Office,178459,1927,100,67,65483.2,1804330.4,1970.4
Multifamily,88965,1900,100,76.3,3000,1419472.2,2893.5
Office,151721,1900,100,48.1,31.3,1592355.8,3899.6
Office,226000,1897,100,53.9,5146.8,3113078.5,5798
Office,230740,1900,100,59.8,7511.9,2799108.8,3938
Retail,74970,1900,100,124.4,23520,2043623.8,951.5
Multifamily,75542,1900,100,39.2,359,593452.9,1695.2
Office,114990,1882,100,140,75069.8,4034027.9,13429
Hotel,58538,1890,100,194.7,71308.4,2291853.1,21995.7
Multifamily,41625,1910,100,56.9,28891.6,269323.5,946.9
Multifamily,52500,1915,95,101,34423.2,605275.7,675.6
Multifamily,88000,1903,100,53.6,617,407491.3,1712
Office,296000,1929,100,59.6,12270.4,4676234.2,4499.6
Office,380972,1919,100,87.7,149645.4,6236565.8,8638.2
Multifamily,53641,1986,100,93.8,41911.9,893582.9,3144.1
Multifamily,50999,1974,0,39.1,43.9,38625.6,999.4
Multifamily,187370,1991,100,56.1,70042,1133156.9,4613.3
Office,76500,2004,100,89.6,5776.8,2416917.9,1587.4
Office,65170,1910,100,105.8,11.1,2648531.5,1094.9
Office,110000,1905,100,73.1,39686.6,1748388.8,2709.5
Multifamily,72483,1961,100,119.8,73266.9,810892.3,5555.4
Multifamily,40292,1985,100,70,24677.8,371448,2241.2
Multifamily,55065,1900,100,89.7,5278.9,478220.1,1542
Office,92088,1898,100,56.6,9795.4,1326642,2089.6
Multifamily,64754,1985,100,93.3,38070.3,870325.4,1170
Multifamily,83200,2006,100,83.8,46262.3,815004.4,7183.8
Multifamily,63563,1985,100,146.5,704,407852.3,2206.5
Multifamily,105290,1912,100,71.9,77722.3,1891520.2,2487
Office,130000,1898,100,40.6,43268.3,855079.9,5643.3
Multifamily,197720,1930,100,62.1,38268.1,2475137.4,7594.2
Multifamily,315000,1890,100,65.8,55274.7,2665421.6,1842.5
Multifamily,67048,1910,100,85.5,38993.5,654267,1202.7
Office,44126,1911,100,51.8,2839,748734.8,1344.8
Multifamily,54914,1941,100,78.9,37683.8,251953.4,1767.6
Office,79936,1885,100,172.2,121637.2,1548089.8,1923
Office,52192,1928,100,107.8,26751.4,924936.6,608.2
Multifamily,128300,2010,100,106.2,72950.9,1935083.9,5351.6
Multifamily,126633,2005,100,142.5,129417.7,2092795.1,4524.7
Multifamily,75165,1908,100,82.8,1433.2,575746.1,651.5
Education,415725,1896,100,32.9,1213.2,1328440.9,4760.6
Office,287886,1910,100,89.7,15498.5,6006264.8,2211.4
Multifamily,80600,1981,100,256.7,192360.9,1630798.6,9168.5
Office,87149,1906,100,119.4,35425.2,2081999.8,1733.5
Multifamily,56237,1895,100,89.8,5659.4,567114.9,556.7
Multifamily,95000,1891,100,75.5,25111.9,1534329.1,3106.7
Multifamily,134387,1931,100,79.3,85373,630867.9,3696
Multifamily,100581,1952,100,104.7,56068.8,1199389.2,8910.5
Multifamily,72500,1932,100,89.3,2039.9,743198.9,6828.9
Multifamily,95590,1890,100,82.6,25737.6,2090978.2,6759.6
Multifamily,455959,1950,100,36.8,33258.2,3520317.3,27443.8
Multifamily,470253,1965,100,90.8,409368.9,2494296.6,18239
Multifamily,222273,1927,100,86.5,22153.7,1718962.3,15275.2
Multifamily,64622,1925,100,79.4,44138.7,308935.1,1412.3
Office,974349.1,1906,100,77.9,130673.4,17308085.4,15042.2
Multifamily,237037,1965,100,112.8,4879.2,1728061.9,11823
Multifamily,164500,1919,100,92.3,49770.4,1472708,6925.5
Multifamily,104722,1887,100,180.2,160959.8,788611.1,4545.9
Multifamily,57263,1988,100,111.9,45266.6,640501.9,3896.6
Multifamily,73936,1985,100,61.1,35495.3,400698.8,2710.2
Multifamily,98627,1901,100,97.1,61904.7,1042341.4,7781.2
Multifamily,60266,1910,100,102.7,45671.1,563087.4,2536.6
Multifamily,212372,1955,100,96.8,129635.9,2808031.3,10630.6
Multifamily,204580,1959,100,92.1,144362.4,1940152.2,9827.9
Multifamily,160896,1929,100,73.4,102069.4,733629.9,5673.2
Multifamily,148870,1959,100,107.7,22941.8,986557,7522.4
Multifamily,101567,1925,100,102.7,53521.1,438356.6,2953.7
Multifamily,242016,1955,100,67.3,122871.6,1603261.1,9452.4
Multifamily,144516,1928,100,70.1,67892.8,1112323.5,5586.5
Multifamily,187600,1923,100,81.3,114590.3,1426404.9,9657.1
Office,180000,1906,100,94.1,110120.8,2691784.5,11839.4
