property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
K-12 School,55627,1891,100,40,72.3,0,0,0,1654215.9,307.5,648.2
Multifamily Housing,139906,1975,100,21,115.6,0,0,0,12577399.8,1001.7,17281.4
Multifamily Housing,160200,1973,100,0,119.3,0,0,0,15763300.2,1276.5,7927.5
Multifamily Housing,108940,1975,100,6,124.3,13173590.6,0,0,4154545.5,969.2,0
Multifamily Housing,278208,1980,100,100,15.6,0,0,0,1780488.8,328.9,26213.2
Multifamily Housing,57720,1920,100,91,29.7,0,0,0,282200,148,0
Multifamily Housing,277200,1974,100,1,109.8,0,0,0,12814600.3,2315,0
Multifamily Housing,77980,2009,100,76,58.4,0,0,0,3048067.5,301.9,0
Multifamily Housing,113232,2013,100,53,147.3,0,0,0,17124009.3,1001.6,0
Multifamily Housing,168025,1974,100,0,64.5,0,0,0,3651809.5,905.4,0
Multifamily Housing,209963,1982,100,95,61.7,0,0,0,10659583.6,779.7,0
Multifamily Housing,161560,2009,100,99,55.7,0,0,0,7972763.5,518.9,13308.6
Other,78349,1930,100,0,19.7,0,0,0,858100,108.9,95.6
Other,352032,1930,100,0,92,0,0,0,20584718.1,4091.4,0
Non-Refrigerated Warehouse,218705,1959,100,48,59.6,0,0,0,11707700.3,1128.2,0
Mixed Use Property,58883,1937,100,0,44.3,0,0,0,1594800,542.5,0
Multifamily Housing,56858,2005,100,25,105.5,0,0,0,4958200.1,359.7,2676.4
Multifamily Housing,75435,2011,100,97,35.8,0,0,0,1548648,189.5,0
Retail Store,105000,1999,100,55,86.3,0,0,0,4349436.3,1133.1,2639.7
Multifamily Housing,77740,1975,100,20,82.6,0,0,0,4452000,419.3,10642.5
Multifamily Housing,75155,1984,100,0,79.9,0,0,0,4757399.8,375.9,0
Multifamily Housing,80000,2012,100,32,64.4,0,0,0,2500600.3,378.8,4038.7
Multifamily Housing,69650,2013,100,0,33.4,0,0,0,657600,200.5,0
Multifamily Housing,104921,1974,100,36,112,0,0,0,9039737.5,731.7,0
Multifamily Housing,115668,2008,100,98,45.2,0,0,0,3313225.7,353.8,3066.3
Multifamily Housing,73220,1997,100,41,77.9,0,0,0,4235623.2,361,3532.6
Multifamily Housing,120000,1984,100,73,71.9,0,0,0,6746365.7,584.7,7303.2
Multifamily Housing,79380,1931,100,0,101.8,842048.2,0,0,6259032.4,498.4,0
Multifamily Housing,190906,1974,100,0,102,0,0,0,16088639.9,1251.2,19291.7
Multifamily Housing,150965,1923,100,26,118.1,20568071.2,0,0,3485000,1324.4,10700.9
Worship Facility,54100,1953,90,39,58.2,0,0,0,2393059.1,197,0
Multifamily Housing,52520,1971,100,29,85.6,276248.4,0,0,2945609.5,297.8,0
Multifamily Housing,63868,1931,100,9,111,0,0,0,5335799.9,446.2,0
Multifamily Housing,59323,1986,100,85,85,0,0,0,4518384,288.5,6990.2
Multifamily Housing,130950,1965,100,95,81.4,6985315,0,0,2961907.3,749.2,13026.1
Non-Refrigerated Warehouse,66633,1920,100,6,145.1,0,0,0,7396263.6,603.8,0
Multifamily Housing,191787,1920,100,45,67,0,0,0,8353642.6,860.9,8893.6
K-12 School,113220,1930,100,95,44.8,0,0,0,3376300,336.9,0
Non-Refrigerated Warehouse,192240,1951,100,3,145.1,0,0,0,21338639.5,1742.6,0
Other,58905,1935,100,0,51.1,0,0,0,1575557.9,217.1,1607.6
Non-Refrigerated Warehouse,280000,1942,100,100,4.7,0,0,0,276900,111.6,0
Multifamily Housing,67236,1930,100,0,18.8,0,0,0,142600,111.4,0
Multifamily Housing,58976,2009,100,37,77.9,0,0,0,2827363.3,314.1,1767
Multifamily Housing,60210,2007,95,98,32.9,0,0,0,934800,49.7,3292.1
Distribution Center,56384,1996,100,20,37.9,0,0,0,898900,162.9,44
Multifamily Housing,65308,2006,100,1,111.1,0,0,0,4706900.1,486.3,0
Multifamily Housing,61894,2002,95,40,61.8,0,0,0,2288800,263.9,4941.7
Multifamily Housing,128583,1945,100,14,139.9,0,0,0,17267512.5,983.6,0
Multifamily Housing,86576,1903,100,82,72.8,0,0,0,5219900.5,377.7,0
Multifamily Housing,651914,1944,100,55,102.6,0,0,0,61999947.2,3747.1,27080.8
Multifamily Housing,65600,1954,100,0,91.8,0,0,0,4522271.3,469.5,702
Multifamily Housing,272000,1958,100,94,71.3,0,0,0,18354350,1071.3,13237.4
Multifamily Housing,272000,1958,100,95,74.9,0,0,0,19463072.6,1119.5,14744.1
Office,118000,2009,100,100,36.6,0,0,0,2999999.9,281.5,0
Multifamily Housing,108465,2013,100,100,28.8,0,0,0,2120100.1,205.6,0
Multifamily Housing,63200,2000,100,2,98.1,0,0,0,4716047.2,388.2,5973.2
Multifamily Housing,105360,1928,95,78,82.7,477231.6,0,0,7038900,525.3,5963.8
Multifamily Housing,66927,1926,100,59,89.1,0,0,0,4793299.9,363.4,0
Multifamily Housing,83500,1905,100,96,56.5,0,0,0,4037899.7,277.3,2691.5
Multifamily Housing,126625,1935,100,20,113.3,0,0,0,12082099.9,887.3,8144.8
Multifamily Housing,114500,1935,100,64,85.2,0,0,0,6893900,691.5,193
Multifamily Housing,108000,1935,100,67,82,0,0,0,7252800.2,534,0
Multifamily Housing,101713,1910,100,11,114.1,0,0,0,8722600.2,730.9,0
Multifamily Housing,73673,2002,95,100,24.1,0,0,0,1216800,116.8,6192.7
Multifamily Housing,138474,1946,100,40,92.9,0,0,0,11316396.7,744.4,6002.9
Multifamily Housing,110209,1970,100,94,59.6,2483034.2,0,0,4270917.9,417.3,3804.6
Multifamily Housing,408089,1963,100,57,75.8,0,0,0,23786281,1927.2,36274.2
Multifamily Housing,370990,1963,100,1,195.7,1656000.2,0,0,65214490.8,4133.5,16992
Multifamily Housing,86905,1987,100,76,60.4,0,0,0,3392754.6,352.8,3004.9
Multifamily Housing,370990,1963,100,53,98.3,1793999.8,0,0,29112201.3,2213.3,22430.3
Multifamily Housing,95960,1940,100,72,77.8,552055.2,0,0,5700199.9,461.3,3322.8
Multifamily Housing,448000,1946,100,47,99,0,0,0,37885326.2,2614.2,20096.6
College/University,136000,1880,100,29,81.8,0,0,0,6783600,763.3,187
Multifamily Housing,105419,1978,100,0,76.2,0,0,0,6034639.2,517.7,10423.4
Multifamily Housing,101452,2006,100,62,63.3,0,0,0,4230800.2,428.3,0
Multifamily Housing,88741,1982,100,51,77,0,0,0,4905693.5,439.6,5997.9
Multifamily Housing,51834,1930,100,45,114.1,9969946,0,0,290271,444.8,4700.8
Multifamily Housing,50925,2006,100,5,112.7,0,0,0,4687710.5,346.7,2387.4
Multifamily Housing,81169,2011,100,39,59.4,0,0,0,1883380.7,372.9,406518.1
Multifamily Housing,56368,1911,100,92,66.5,0,0,0,3107302.5,224.5,2692.3
Multifamily Housing,77452,2012,100,91,76.4,0,0,0,5477099.9,331.6,0
Office,398702,1907,100,0,111.6,0,0,0,5863692.6,7752.9,24881.2
Supermarket/Grocery Store,66903,1995,100,92,172.4,0,0,0,1947582,993.1,2045.2
Multifamily Housing,324480,1974,100,20,95.1,0,0,0,24595016.6,1887.2,0
Multifamily Housing,110828,2009,95,32,60.7,0,0,0,2808413.1,576.4,3821.8
Multifamily Housing,92937,2002,100,85,70.9,0,0,0,5481184.5,394.2,6447.3
Multifamily Housing,385717,1974,100,48,95.7,584116.9,0,0,27509972,2323.5,42535.5
Office,633686,1915,100,37,113.8,0,0,0,17454513,5997.7,22415.3
K-12 School,76437,1930,100,12,108,0,0,0,3770713.5,616.4,625.6
Multifamily Housing,75350,2006,100,33,53.4,0,0,0,1809300,301.9,1345.6
Multifamily Housing,50123,1915,100,42,95.3,242355.6,0,0,3766048.1,291.5,2207.6
Multifamily Housing,76689,2009,100,27,78.7,0,0,0,3998400.4,401.5,2486.3
Multifamily Housing,41775,2011,100,0,40.8,0,0,0,748600,160.6,1314.9
Multifamily Housing,91372,1974,100,5,119.9,552055.2,0,0,7955943.3,696,11134.9
Multifamily Housing,156000,1942,100,2,184.5,0,0,0,25300343.7,1666.3,0
Multifamily Housing,108352,2009,100,100,28.7,0,0,0,2657399.7,267.7,5097.2
Multifamily Housing,142037,2009,100,100,31.7,0,0,0,3156567.7,292.2,5095.7
Multifamily Housing,85706,1930,100,24,138.2,0,0,0,9060375.8,739.7,0
Multifamily Housing,70600,2006,100,0,83.1,0,0,0,3291769.2,533.7,0
Multifamily Housing,68099,1926,100,0,70.2,0,0,0,1988500,408,5140.2
Non-Refrigerated Warehouse,114500,1948,100,100,15.7,0,0,0,1779900,95.8,37.4
Other - Lodging/Residential,60460,1927,100,0,95.1,0,0,0,1646550.1,468.4,6918.4
Multifamily Housing,333581,1929,100,9,106.3,0,0,0,23345683.7,2691.5,0
Multifamily Housing,217496,2007,100,0,89.2,0,0,0,15302399.9,1322.6,9096.3
Multifamily Housing,187668,1958,100,73,77.1,966000.4,0,0,11089090.2,894.4,7924.1
Multifamily Housing,187668,1958,100,71,78.5,2207999.8,0,0,10629150.8,924.2,7759.8
Multifamily Housing,187665,1958,100,63,85.4,1655999.8,0,0,12319037.4,983.2,7615.9
Multifamily Housing,329647,1957,100,51,105.2,0,0,0,30317917,2015.2,0
Multifamily Housing,123200,1900,100,85,56.7,0,0,0,4546472.8,526.1,5180.3
Multifamily Housing,80917,2007,100,100,52.5,0,0,0,4249624.6,225.7,3208.4
College/University,846120,1925,100,0,151.1,0,0,0,80462300,8669.5,0
Other,127558,1903,100,0,5.1,0,0,0,0,60.6,2.2
Other,113700,2004,100,0,112.4,0,0,0,4653300.1,1001.3,1980.8
Hospital,700000,1983,100,100,77.3,0,0,0,683744.6,4996.7,44761.1
Medical Office,200000,1975,100,92,31.1,0,0,0,1084432.9,533.9,5729.6
Office,323043,1973,100,32,210.1,0,0,0,45453195,4944.7,0
Multifamily Housing,122147,2007,100,0,213.8,0,0,0,22398339,1604.4,5483.7
Multifamily Housing,126940,1932,100,73,87,0,0,0,9222600,715.2,5962.7
Multifamily Housing,57460,1936,95,91,75.3,0,0,0,3549799.9,260.5,2753.6
Multifamily Housing,211306,2012,100,78,90.2,0,0,0,14941618.4,1234.9,8257.4
Worship Facility,60000,1920,100,100,3.7,0,0,0,3822.6,20.3,35740.7
Multifamily Housing,205358,1927,95,1,143,0,0,0,26301050.5,2752.2,23909.5
Multifamily Housing,78000,1929,100,69,81.3,0,0,0,5000900.3,390.1,6036.8
Worship Facility,65820,1918,100,0,42.4,0,0,0,2809224.6,151.2,0
Multifamily Housing,82000,1928,100,45,92.3,0,0,0,6282163,453.3,5718.1
Multifamily Housing,53968,2005,100,11,74.3,0,0,0,1671599.9,305.7,11011.8
Multifamily Housing,195924,1916,100,6,74.6,0,0,0,7609251.9,1053.5,15399.4
Multifamily Housing,55522,2002,100,84,33.7,0,0,0,613744.7,167,2087.1
Non-Refrigerated Warehouse,165167,1940,100,0,7,0,0,0,0,107,0
Non-Refrigerated Warehouse,70665,1946,100,28,34.5,0,0,0,852800.1,192.4,0
Multifamily Housing,88097,2006,100,1,326.9,0,0,0,26798099.9,1609.1,4667.8
Multifamily Housing,130500,2003,100,13,120.9,0,0,0,10258676.6,1057.4,13293
Multifamily Housing,172270,2003,100,72,68.5,0,0,0,8428303.9,760.6,8294.4
Multifamily Housing,59400,2002,100,99,41.3,0,0,0,1213800.1,179.3,3165.8
Multifamily Housing,55550,1925,100,11,128.5,0,0,0,5811900.1,431.9,5378.5
Multifamily Housing,62900,1926,100,0,79.9,2156940,0,0,3211230.3,323.4,5211.7
Multifamily Housing,558085,1979,100,36,106.5,0,0,0,45410337.1,4042.7,64554.3
K-12 School,86580,1990,100,36,84.2,0,0,0,4254100.1,508,3565.2
K-12 School,138570,1908,100,80,39.1,0,0,0,1659000.1,437.4,0
Multifamily Housing,51796,1927,100,14,91.9,0,0,0,3334699.8,309.4,4391.8
Multifamily Housing,76514,1931,100,55,90.9,600006,0,0,5019492.8,436.1,5717.5
Senior Care Community,100479,1978,100,67,155.4,0,0,0,13606400.6,909,7113.2
Multifamily Housing,102000,2000,100,100,41.5,0,0,0,3504295.9,253.3,7775
Multifamily Housing,237419,1998,95,89,56.4,0,0,0,7898500.1,419.5,0
Multifamily Housing,37370,2001,90,0,45.3,0,0,0,1496500,155.5,0
Other,92000,1950,100,0,35.1,0,0,0,706148.8,272,0
Hotel,56635,1959,75,100,10.2,0,0,0,0,53.6,2574.1
Multifamily Housing,64150,2008,95,29,71.2,0,0,0,2913399.8,308.3,3312.4
Multifamily Housing,54400,2008,90,66,58.6,0,0,0,2186999.8,209.1,0
Multifamily Housing,51770,2007,100,14,118.7,0,0,0,4217900.1,403,2070.5
K-12 School,125000,2013,95,91,45.1,41400,0,0,3034599.9,402.9,0
K-12 School,99900,1959,100,93,49.7,552000,0,0,3365899.8,322.3,0
Hotel,55543,1901,90,21,229.9,0,0,0,7419466,890.6,5506.1
Multifamily Housing,135575,2008,100,36,66.6,0,0,0,5205199.8,631.1,4474.8
Multifamily Housing,337394,2012,100,47,62,0,0,0,9647192.5,1557.4,10005.8
Multifamily Housing,131215,1928,100,100,2.1,0,0,0,0,25.1,0
Multifamily Housing,64423,1900,100,98,43.8,0,0,0,1066022,219.4,2068.8
Multifamily Housing,90260,2007,100,36,73.2,0,0,0,3019325.6,493.4,4228.9
Multifamily Housing,140398,2009,95,49,62.5,0,0,0,4818536.8,622.7,4669.3
Non-Refrigerated Warehouse,167000,1955,100,0,9.1,0,0,0,1265555,102,30.5
Multifamily Housing,213864,2012,100,69,59.8,0,0,0,8225500.3,900.8,5772.6
Multifamily Housing,59982,1900,100,100,18.6,0,0,0,0,103.7,1346.5
Multifamily Housing,63731,2007,100,64,34.1,0,0,0,378800,186.9,2053.4
Multifamily Housing,72906,2007,100,100,4,0,0,0,109400,22.6,1686.9
Non-Refrigerated Warehouse,58050,1920,100,88,12.1,0,0,0,125800,60.1,260.7
Multifamily Housing,77580,2007,100,100,20.8,0,0,0,1203400,102.3,2509.8
Multifamily Housing,61700,2011,100,67,46.9,0,0,0,870630,233.9,4246.7
Multifamily Housing,268010,2007,100,37,67.2,0,0,0,9784500.1,1283.1,0
Multifamily Housing,365596,2007,100,31,76.1,0,0,0,14757698.7,1996.6,12910.6
Multifamily Housing,522607,2012,100,60,85.8,0,0,0,36902897.4,2696.6,9754.4
Multifamily Housing,214885,2007,100,26,70.8,0,0,0,7554286,1112,0
Multifamily Housing,150000,2007,100,17,82.9,0,0,0,6977681.8,876.9,3325.7
Multifamily Housing,163667,2009,100,8,102.7,0,0,0,7141999.6,1371.7,0
Multifamily Housing,54000,1910,100,89,39.9,0,0,0,1030883.3,209,2600
Multifamily Housing,258370,2012,100,53,57.9,0,0,0,8050599.8,1068.4,0
Multifamily Housing,74720,2012,100,6,69.4,0,0,0,645600.1,455.4,0
Multifamily Housing,51225,1928,100,0,49.7,0,0,0,1886645.1,297.7,3073.9
Multifamily Housing,193407,2010,100,66,54.3,0,0,0,6794337.1,801.9,4471.2
Multifamily Housing,154000,1910,100,97,45.3,0,0,0,4009400.2,526.1,0
Multifamily Housing,114160,2015,100,0,18.7,0,0,0,644089,200.8,4485.3
Retail Store,47400,1973,90,0,194.4,0,0,0,5570500,634.1,0
Multifamily Housing,189697,2013,95,0,41.5,0,0,0,1477282.3,979,0
Multifamily Housing,159887,2009,100,60,65.9,0,0,0,5762300.2,748.6,4311.8
Multifamily Housing,63107,2009,100,24,70.1,0,0,0,2440599.9,313.6,0
Multifamily Housing,104661,1907,100,100,6.6,0,0,0,665500,37.4,0
Multifamily Housing,120582,1907,100,59,57.9,0,0,0,3682900.2,501.7,3284.1
Multifamily Housing,56997,2005,100,65,59.7,0,0,0,2165185,229.9,0
Multifamily Housing,54698,2008,95,69,58.4,0,0,0,1945200.1,219.1,1208.9
Mixed Use Property,74572,2014,100,0,111.3,0,0,0,7605700.1,468.5,0
Multifamily Housing,120130,1914,100,83,38.4,0,0,0,1558099.9,433,3688.8
Multifamily Housing,59983,2005,100,44,87.9,0,0,0,4123236,325.5,3084.6
Multifamily Housing,92225,1929,100,88,50.4,7094304.6,0,0,0,365.8,2247.6
Multifamily Housing,72500,2005,85,64,50.5,0,0,0,1936457.4,262.9,2580.8
Multifamily Housing,61318,1900,100,15,85.5,0,0,0,2887600.1,371.8,2010
Multifamily Housing,108870,2013,100,99,38.4,0,0,0,2826299.8,276,5273.2
Multifamily Housing,203426,2010,100,99,36.6,0,0,0,4708532.1,503.7,0
Multifamily Housing,108000,2012,100,1,210.8,0,0,0,0,2112.2,0
Manufacturing/Industrial Plant,360000,1868,100,0,7.1,0,0,0,4571.4,218.3,924.6
Multifamily Housing,47277,1931,100,0,22.9,0,0,0,0,185.3,0
Multifamily Housing,250000,2015,100,72,56.3,0,0,0,9664920,923,9672.8
Non-Refrigerated Warehouse,235700,1925,100,40,109.7,0,0,0,16341998.8,1750.5,173.5
Multifamily Housing,96446,2016,100,100,3.4,0,0,0,0,30.5,0
Senior Care Community,77800,1994,90,86,90.1,0,0,0,5868551.9,417.8,3221.9
Office,104200,1931,100,100,31.2,0,0,0,1646119.1,236.3,0
Multifamily Housing,60000,1931,100,0,47,0,0,0,3531351.4,327.4,3253.5
Self-Storage Facility,116000,1931,80,0,6.1,0,0,0,90400,62.6,0
Non-Refrigerated Warehouse,123740,1971,100,0,43.6,0,0,0,4335450,328.4,273.8
Manufacturing/Industrial Plant,103000,1975,100,0,11,0,0,0,1116400,60.9,0
Multifamily Housing,81110,1930,100,67,89,859635.2,0,0,5105792.4,452,7239.5
Other,65000,1931,100,0,62.4,2262970.5,0,0,597200,312.9,0
Other,123648,1931,95,0,19.2,1881823.1,0,0,366623.6,173.3,1980.2
Multifamily Housing,212000,1931,100,63,38.6,0,0,0,0,759.9,0
Manufacturing/Industrial Plant,422397,1931,100,0,18.4,0,0,0,2272999.8,631.4,0
Distribution Center,107000,1960,100,0,21.2,0,0,0,1330299.9,164.1,629.2
Non-Refrigerated Warehouse,55629,1931,100,15,61,0,0,0,1802042.9,243.4,2.3
Manufacturing/Industrial Plant,80000,1963,100,0,15.5,0,0,0,156998.5,93.5,1211.8
Office,57500,1970,100,99,19,0,0,0,0,101.6,0
Office,52088,1913,100,95,23.7,0,0,0,0,114.5,2799.7
Distribution Center,79720,1968,100,84,38.7,0,0,0,2787019.1,260.2,206.8
Distribution Center,80620,1983,100,50,31,0,0,0,452290.3,213.9,0
Non-Refrigerated Warehouse,82000,1987,100,9,48.3,0,0,0,1952170.1,289.8,0
Distribution Center,208255,1951,100,53,53.7,0,0,0,5583200,939.2,151.4
Multifamily Housing,45070,2007,100,25,109.5,0,0,0,4124108.7,369.9,1827.1
Multifamily Housing,54031,2008,100,35,79.8,0,0,0,2725802.1,292.1,3818.4
Multifamily Housing,92152,2008,95,99,31.7,0,0,0,1874678,196.4,0
Multifamily Housing,58919,2006,100,8,77.2,0,0,0,1909141.8,346.4,2235.9
Multifamily Housing,104514,2011,95,39,54.1,0,0,0,1819000,452.6,3649
Multifamily Housing,140000,2014,50,28,63.7,0,0,0,2555846.6,726.6,6416.3
Multifamily Housing,117635,2013,95,60,48.7,0,0,0,2319300.3,440.1,3509.9
Multifamily Housing,66800,1991,90,49,72.5,0,0,0,3565899.9,308.2,5544.4
Other,43959,1918,100,0,30.7,0,0,0,210760.2,142.7,279.8
Multifamily Housing,56900,2004,90,1,869265,0,0,0,49459193300,2627199.1,2547.9
Multifamily Housing,68938,2007,100,5,117.4,0,0,0,5470021.7,533.7,3572.5
Multifamily Housing,55053,2008,100,37,56.2,0,0,0,1606299.8,223.2,0
Distribution Center,134250,1938,100,63,22.8,0,0,0,633000,258.6,0
Non-Refrigerated Warehouse,35617,1960,100,0,45.8,0,0,0,2685300,187.1,180.8
Manufacturing/Industrial Plant,77175,1950,100,0,19,0,0,0,414100,119.9,0
Multifamily Housing,149324,1930,90,0,79.7,0,0,0,9166998.9,758.7,10358.3
Non-Refrigerated Warehouse,172390,1900,100,36,62.1,0,0,0,7501063.7,695.9,1422.8
Refrigerated Warehouse,70000,1959,100,41,108.1,0,0,0,2734009.8,593.6,505.7
Multifamily Housing,157970,1957,100,0,28.2,0,0,0,3482899.7,275.7,0
Non-Refrigerated Warehouse,80060,1970,100,99,8.1,0,0,0,390733.4,44.7,0
Non-Refrigerated Warehouse,104500,1971,100,57,52.2,0,0,0,4659204.8,320.8,0
Refrigerated Warehouse,120000,1952,100,94,40.7,0,0,0,2808500.1,342.1,249.1
Non-Refrigerated Warehouse,51400,1957,90,57,52.2,0,0,0,1921500.1,172.9,0
Non-Refrigerated Warehouse,72400,1967,100,66,25.3,0,0,0,223500,196,967.3
Other,102250,1962,100,0,89.9,0,0,0,7069100.2,572.2,0
Manufacturing/Industrial Plant,78719,1919,30,0,31.1,0,0,0,851000,193.6,97.2
Distribution Center,97000,1958,100,23,89.4,0,0,0,7478866.6,549,30151.3
Non-Refrigerated Warehouse,81361,1948,100,54,37.9,0,0,0,1841500.1,213.3,305.2
Non-Refrigerated Warehouse,100000,1928,100,100,6,0,0,0,603251.8,32,0
Non-Refrigerated Warehouse,59125,1916,100,0,9.8,0,0,0,273333.3,49.9,0
Manufacturing/Industrial Plant,54500,1931,5,0,9.8,0,0,0,0,49.4,0
Office,64000,1940,100,98,40.8,0,0,0,1534266.7,184.3,0
Office,62000,1931,100,100,15.4,0,0,0,592381.6,65.2,0
Manufacturing/Industrial Plant,121279,1930,100,0,74.4,0,0,0,2862987.2,723.2,0
Non-Refrigerated Warehouse,167272,1964,100,93,8.6,0,0,0,617900,108.6,328.3
Non-Refrigerated Warehouse,99750,1964,90,96,17.1,0,0,0,1689600.2,91.5,159.9
Multifamily Housing,73600,1920,100,19,29.6,0,0,0,0,202,256.6
Other,91188,1930,100,0,99.6,0,0,0,4119899.7,679.6,0
Office,125000,1931,100,100,33.6,0,0,0,3519933.5,249.9,1853.7
Refrigerated Warehouse,51956,1923,75,71,47.2,0,0,0,0,227.6,1172
Distribution Center,48000,1931,100,74,29.6,0,0,0,1005751.9,146.8,0
Multifamily Housing,80332,1931,100,71,35.4,0,0,0,304100,251.6,0
Self-Storage Facility,54750,2011,100,0,16.3,0,0,0,460276.8,64.7,0.2
Office,84000,1930,100,88,58,1883400.1,0,0,421900,402.5,0
Multifamily Housing,102700,1984,100,56,76.2,0,0,0,6204257.4,480.4,6140.4
Multifamily Housing,52780,2009,100,44,30.2,0,0,0,0,148.1,1285.9
Multifamily Housing,84500,2011,100,51,32.6,0,0,0,649800,230,0
Multifamily Housing,74978,2012,100,50,40.3,0,0,0,0,280.4,0
Multifamily Housing,80000,1939,80,1,371.2,0,0,0,28807201.5,1612.7,5144.7
Manufacturing/Industrial Plant,72000,1870,100,0,16.2,0,0,0,0,108.2,3
Non-Refrigerated Warehouse,80000,1946,100,88,12.7,0,0,0,195316.1,86.3,0
Multifamily Housing,102000,1942,100,30,46.1,0,0,0,1906199.9,361.2,5181.1
Other,90352,1932,100,0,49.8,0,0,0,2991108.2,298.7,371.8
Supermarket/Grocery Store,52370,1969,100,79,253.8,0,0,0,5770674.6,1004.5,1930.8
Multifamily Housing,53650,2009,100,95,60.8,0,0,0,2537761,202.1,5125.2
Multifamily Housing,151123,2010,100,93,47.7,0,0,0,4609166.7,486,0
Mixed Use Property,130000,1910,100,0,50.5,0,0,0,0,609.5,0
Multifamily Housing,58617,2015,100,100,22.6,0,0,0,146033,116.9,0
Multifamily Housing,64371,1998,100,0,88.9,0,0,0,4444799.7,362.7,5457.5
Multifamily Housing,117961,2007,100,98,51.5,0,0,0,5811246.8,433,8057.4
Distribution Center,319284,1988,100,86,18.7,0,0,0,2913900.1,437.7,0
Multifamily Housing,78204,2010,100,0,48.3,0,0,0,2616816.6,258.1,3454.8
Multifamily Housing,51800,2009,100,0,82.4,0,0,0,3339100.9,284,4116.5
Multifamily Housing,78162,2004,100,45,89,0,0,0,5085133.1,444,6131.4
Non-Refrigerated Warehouse,154639,1950,5,0,33.9,0,73278,0,3897317.1,331.1,183.4
Multifamily Housing,56547,2007,100,67,80.5,0,0,0,3551031.7,281.4,4067
Non-Refrigerated Warehouse,153000,1955,100,29,35,0,0,0,3708499.9,349.1,260.5
Multifamily Housing,97303,2006,100,18,91.4,0,0,0,6641528,561.8,7264.9
Multifamily Housing,65402,1931,95,71,77.2,0,0,0,3782925.6,318.5,0
Multifamily Housing,118664,1930,100,0,4.5,0,0,0,0,49.3,126.4
Other,46000,1920,100,0,84.5,0,0,0,4065233.2,403,4268.6
Multifamily Housing,65693,1931,100,84,29,0,0,0,707700,149,0
Multifamily Housing,46500,1931,100,0,19.2,0,0,0,0,128,0
Multifamily Housing,67638,2002,100,68,80.4,0,0,0,4317433,333.6,3573.4
Multifamily Housing,59000,2011,100,86,67.3,0,0,0,2269200.1,278.7,0
Other,67000,1920,100,0,45.5,0,0,0,1958645.1,205.5,1806.5
Multifamily Housing,57257,1919,100,4,126.7,0,0,0,5142799.9,469.2,3256.9
Multifamily Housing,101957,2012,95,63,65.8,0,0,0,3885866.7,467.9,0
Multifamily Housing,74250,1992,100,100,36.9,0,0,0,2201661.2,167.1,2250.9
Multifamily Housing,121575,1954,100,100,12.3,0,0,0,57500,136.4,0
Multifamily Housing,57361,2008,100,99,38.9,0,0,0,1539790.9,184.1,1947.2
Multifamily Housing,71326,1990,100,94,62.8,0,0,0,3494121.6,277.2,4287.6
Multifamily Housing,107000,1988,100,87,71.1,0,0,0,5956652.1,470.1,9542.2
Multifamily Housing,56500,1924,100,65,103,0,0,0,5145274.3,336,3
Multifamily Housing,60153,1928,100,4,135.3,0,0,0,6541699.9,495.6,6967.5
Multifamily Housing,52630,1924,100,88,74.4,0,0,0,3676799.8,217.6,8305.3
Office,44300,1931,100,0,43.2,0,0,0,815771.2,224.4,0
Multifamily Housing,80000,1914,100,1,79.9,0,0,0,1697000,526,5060.3
Non-Refrigerated Warehouse,49000,1960,100,0,64.1,0,0,0,663089.6,295.1,186.3
Multifamily Housing,60357,2008,100,57,76.9,0,0,0,3478065.7,292.5,3073.7
Multifamily Housing,67000,2007,100,32,50.9,0,0,0,1072000.1,273.8,3343
Multifamily Housing,67200,2009,100,82,60.4,0,0,0,2969414.8,259,2241.6
Multifamily Housing,94600,1982,100,50,92.5,0,0,0,6415000.1,557.1,0
Multifamily Housing,53550,1929,100,47,93.6,0,0,0,4327500.2,293.2,4335.4
Adult Education,129654,1930,100,0,48.9,0,0,0,1103112.4,544.9,0
Multifamily Housing,87429,2009,95,83,70.1,0,0,0,4654099.7,384,0
Multifamily Housing,80436,2009,95,78,70.1,0,0,0,4195877.5,356.7,6183.4
Multifamily Housing,62838,1983,100,1,185.9,416760,0,0,9651800.2,697,7124.4
Multifamily Housing,64600,1977,100,67,47.9,0,0,0,0,287.3,0
Multifamily Housing,158100,1977,100,26,47.9,0,0,0,0,703.1,0
Multifamily Housing,91600,1977,100,13,47.9,0,0,0,0,407.4,0
Multifamily Housing,81000,1977,100,41,47.9,0,0,0,0,360.2,0
Multifamily Housing,129000,1977,100,33,47.9,0,0,0,0,573.7,0
Multifamily Housing,59670,2014,100,100,44.7,0,0,0,2223637,159.2,2034.1
Multifamily Housing,76091,2009,95,78,71.5,0,0,0,3916783.8,349.5,6082.1
Multifamily Housing,239983,1976,100,0,115.2,0,0,0,24902438.8,1889.1,0
Multifamily Housing,214948,1976,100,33,114.7,0,0,0,20244328,1485.1,0
Multifamily Housing,57200,1977,100,26,47.9,0,0,0,0,254.4,0
Multifamily Housing,86978,2008,100,82,40.6,0,0,0,1855952.6,253.9,0
Multifamily Housing,97850,2011,100,88,58.9,0,0,0,3931401.1,379.3,0
