property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
Multifamily Housing,124800,1960,95,99,24.2,0,0,0,536150,258.5,0
Library,150701,1906,100,0,150.4,0,0,9843868.8,617541.9,1819.4,0
Multifamily Housing,110400,1953,95,88,66.5,0,0,0,5952864.1,445,2994.9
Multifamily Housing,55200,1953,95,84,70.8,0,0,0,3229125,234.7,0
Multifamily Housing,55200,1953,95,91,62.2,0,0,0,2723739.1,210.3,0
Multifamily Housing,1542240,1961,95,94,55.8,91957457.2,0,0,14921200.9,6545,0
Multifamily Housing,660960,1961,95,100,15,0,0,0,5644399.6,694.5,183250.3
Multifamily Housing,881280,1961,95,96,34.3,0,0,0,9276801.3,2438.5,0
College/University,900000,1887,100,0,89.5,0,0,0,52577490.1,5390.9,19048.4
College/University,20000,2005,100,14,89.4,0,0,0,785100,134.8,18.3
Residence Hall/Dormitory,266000,1965,100,59,86.2,0,0,0,18253599.2,1404.3,12679.5
College/University,28000,1955,100,39,85.8,0,0,0,1389788,167.7,254.3
College/University,44000,1900,100,25,85.8,0,0,0,2183924.8,263.6,85.3
College/University,26000,1955,100,24,85.8,0,0,0,1290497.9,155.8,51.6
College/University,10000,1888,100,11,85.8,0,0,0,496361,59.9,18
College/University,40000,1887,100,6,85.8,0,0,0,1985442,239.6,1122.1
College/University,43000,1887,100,21,85.8,0,0,0,2134330.4,257.6,125.3
College/University,17000,1900,100,80,85.8,0,0,0,843832.9,101.8,37.4
College/University,14000,1887,100,16,85.8,0,0,0,694947,83.9,29.2
College/University,47000,1957,100,68,137.4,0,0,0,4758712.5,410.4,486.2
Residence Hall/Dormitory,59000,1986,100,55,98.8,0,0,0,3807467.3,390.1,2049.7
College/University,8000,1900,100,43,85.8,0,0,0,397068,47.9,20.8
College/University,72000,1920,100,33,74.3,0,0,0,3535327.1,356.2,134.6
College/University,31000,1900,100,30,85.8,0,0,0,1538677.9,185.7,95.4
College/University,109000,1975,100,1,119.3,0,0,0,6168867.2,961.9,1757.9
Residence Hall/Dormitory,16296,1900,100,73,75.7,0,0,0,988936,75.2,29
Residence Hall/Dormitory,16296,1900,100,100,16.7,0,0,0,98200,21.3,23.9
Residence Hall/Dormitory,22407,1900,100,93,58.5,0,0,0,1226410.9,73.1,29.9
Financial Office,1964041,1990,65,0,62.3,0,0,0,0,11359.8,21139.8
Financial Office,252073,1991,60,0,114.8,916049.8,0,0,424736.2,3883.5,3869.9
