ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,144375.0,1990,100,83.0,35.8,739700.0,9539.2
Multifamily Housing,91412.0,2007,100,5.0,82.4,3281041.7,3818.4
Multifamily Housing,236534.0,2007,95,10.0,102.2,12361775.2,14115.4
Multifamily Housing,71550.0,1920,100,35.0,75.1,4155500.0,1506.6
Office,80149.0,1920,100,23.0,118.9,2590531.3,1417.7
Multifamily Housing,73954.0,1985,100,34.0,77.8,49356.3,1371.2
Multifamily Housing,84100.0,1915,100,6.0,65.5,2297575.0,2940.4
Office,133010.0,1930,100,28.0,147.8,2513953.1,6188.6
Hotel,75000.0,2005,100,1.0,216.0,9095828.0,8228.6
Multifamily Housing,79804.0,1985,100,1.0,110.4,7117812.0,11820.2
Office,46200.0,1956,100,3.0,183.1,5107784.0,3186.1
Multifamily Housing,70771.0,1915,100,3.0,103.8,4241721.6,2615.1
Multifamily Housing,80366.0,1999,100,24.0,69.1,1796344.0,8329.8
Multifamily Housing,59496.0,1985,100,2.0,101.5,555587.5,5486.9
Multifamily Housing,163242.0,1905,100,17.0,75.2,4780550.0,5096.6
Multifamily Housing,68427.0,2000,100,40.0,81.3,3975680.3,1738.7
Office,44968.0,1915,100,18.0,122.2,2059561.2,1785.1
Office,129949.0,1911,100,45.0,98.8,3165744.2,7978.9
Office,36280.0,1991,100,62.0,76.3,942681.2,1151.2
Multifamily Housing,54678.0,2003,100,65.0,61.2,1687159.0,1098.2
Multifamily Housing,61750.0,1900,100,24.0,83.8,2784725.8,2595.1
Hotel,67870.0,2008,100,62.0,114.1,4857400.0,6877.0
Multifamily Housing,153833.0,1915,100,71.0,50.9,5285264.5,3376.0
Multifamily Housing,125674.0,2004,100,2.0,91.3,5009987.6,5680.5
Multifamily Housing,58015.0,1930,100,39.0,80.8,2916128.2,2612.2
Multifamily Housing,176493.0,1913,100,1.0,70.2,4724769.0,5569.9
Multifamily Housing,100984.0,1985,100,70.0,55.6,2879384.3,2221.7
Multifamily Housing,103251.0,1915,100,92.0,34.8,978712.5,847.8
Multifamily Housing,76856.0,1995,100,95.0,59.3,4349828.2,4207.8
